escenario,tipo,baseline,modelo_o_baseline,variante_espacial,n_registros,MAE,RMSE,R2,mejor_baseline_referencia,diferencia_MAE_vs_mejor_baseline,diferencia_RMSE_vs_mejor_baseline,mejora_MAE_vs_mejor_baseline,mejora_RMSE_vs_mejor_baseline,mejora_MAE_porcentaje,mejora_RMSE_porcentaje,diferencia_R2_vs_mejor_baseline,ranking
prueba_2024,baseline,media_localidad_bimestre,Baseline - media localidad-bimestre,no_aplica,117,0.7131365506408356,0.9910727622533034,0.8266234299681222,Baseline - media localidad-bimestre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
prueba_2024,baseline,media_localidad,Baseline - media por localidad,no_aplica,117,0.7842786586459662,1.149376775835764,0.7668130935255139,Baseline - media localidad-bimestre,0.07114210800513066,0.1583040135824606,-0.099759447108974,-0.15972996091885383,-9.9759447108974,-15.972996091885383,-0.05981033644260836,2
prueba_2024,modelo,,XGBoost - con_latitud_longitud,con_latitud_longitud,117,1.1211968429511263,2.0006404022348394,0.2934914925655059,Baseline - media localidad-bimestre,0.40806029231029073,1.0095676399815359,-0.5722049892739356,-1.0186614731356176,-57.22049892739356,-101.86614731356175,-0.5331319374026163,3
prueba_2024,modelo,,Ridge - con_latitud_longitud,con_latitud_longitud,117,1.7856093627305014,2.2807504066453625,0.0818051601523953,Baseline - media localidad-bimestre,1.0724728120896658,1.289677644392059,-1.503881425129486,-1.301294610760816,-150.3881425129486,-130.1294610760816,-0.7448182698157269,4
prueba_2024,baseline,seasonal_naive,Baseline - seasonal naive,no_aplica,117,1.1026892012561096,2.384286892879075,-0.0034514122092583754,Baseline - media localidad-bimestre,0.389552650615274,1.3932141306257715,-0.5462525378417582,-1.4057637175480027,-54.62525378417582,-140.57637175480028,-0.8300748421773806,5
prueba_2024,modelo,,Ridge - sin_latitud_longitud,sin_latitud_longitud,117,1.8466278286020985,2.3844431965566835,-0.0035829805096021,Baseline - media localidad-bimestre,1.133491277961263,1.39337043430338,-1.5894449344135988,-1.4059214291546187,-158.94449344135987,-140.59214291546186,-0.8302064104777244,6
prueba_2024,modelo,,XGBoost - sin_latitud_longitud,sin_latitud_longitud,117,1.9314553830577668,2.4432600030814964,-0.0537041653460137,Baseline - media localidad-bimestre,1.2183188324169312,1.4521872408281928,-1.70839488078704,-1.4652680369567412,-170.839488078704,-146.52680369567412,-0.880327595314136,7
prueba_2024,baseline,media_global,Baseline - media global,no_aplica,117,1.9732167981920936,2.4716264611097176,-0.07831338976871605,Baseline - media localidad-bimestre,1.260080247551258,1.480553698856414,-1.7669550753203302,-1.493890010144388,-176.69550753203302,-149.3890010144388,-0.9049368197368383,8
prueba_2024,modelo,,Regresion lineal - con_latitud_longitud,con_latitud_longitud,117,2.7091849037803386,2.9823520828799603,-0.5699909600014859,Baseline - media localidad-bimestre,1.996048353139503,1.9912793206266568,-2.7989707600119824,-2.009216070169544,-279.89707600119823,-200.9216070169544,-1.3966143899696082,9
prueba_2024,modelo,,Regresion lineal - sin_latitud_longitud,sin_latitud_longitud,117,3.113925258361629,3.4106790727316265,-1.0533408096834815,Baseline - media localidad-bimestre,2.4007887077207934,2.419606310478323,-3.366520346718181,-2.4414012801412333,-336.65203467181806,-244.14012801412332,-1.8799642396516036,10
