localidad,MAE_mejor_baseline,n_registros,MAE_xgboost,diferencia_absoluta_MAE_xgb_menos_baseline,mejora_porcentual_xgboost,resultado
CIUDAD BOLIVAR,0.6372605727517916,6,0.6099716134495802,-0.027288959302211424,4.282229353115852,Resultado similar
SUBA,0.5711364818100023,6,0.5499708122658516,-0.021165669544150667,3.7058864594105456,Resultado similar
PUENTE ARANDA,1.8609059200438898,6,1.833422573970781,-0.02748334607310876,1.4768799312788738,Resultado similar
USME,0.4343910380529972,6,0.44433146483596736,0.009940426782970135,-2.2883590848293167,Resultado similar
BOSA,0.37592935049164683,6,0.3875888181482751,0.011659467656628286,-3.1015050145405842,Resultado similar
ENGATIVA,0.4970322077666169,6,0.5198312007830012,0.022798993016384272,-4.587025279273171,Resultado similar
RAFAEL URIBE URIBE,0.7318636242816536,6,0.807992855392324,0.07612923111067038,-10.402106155418434,Baseline supera a XGBoost
SAN CRISTOBAL,0.8287343455515659,6,0.9209342117962972,0.09219986624473131,-11.125382547451611,Baseline supera a XGBoost
TUNJUELITO,1.04078089726245,6,1.2970563786724536,0.25627548141000367,-24.623384430294703,Baseline supera a XGBoost
ANTONIO NARINO,0.8082842520631258,6,1.0137041429547644,0.2054198908916386,-25.414313141362,Baseline supera a XGBoost
FONTIBON,0.6407538943746761,6,0.8082069541675017,0.16745305979282554,-26.133756074357706,Baseline supera a XGBoost
LOS MARTIRES,0.9451644891034489,6,1.2535868189118762,0.3084223298084273,-32.631603637689174,Baseline supera a XGBoost
BARRIOS UNIDOS,0.6885154897914383,6,0.9493174307049174,0.2608019409134791,-37.87887778566608,Baseline supera a XGBoost
USAQUEN,0.5073840865769874,6,0.7994296035082952,0.29204551693130776,-57.55906120382326,Baseline supera a XGBoost
KENNEDY,0.3528383306657569,6,0.569255445065977,0.2164171144002201,-61.33605552204917,Baseline supera a XGBoost
LA CANDELARIA,1.351393307868329,6,2.2437785508714443,0.8923852430031154,-66.03445775610307,Baseline supera a XGBoost
TEUSAQUILLO,0.35201521454437606,6,0.6036426686952646,0.25162745415088855,-71.48198252640232,Baseline supera a XGBoost
CHAPINERO,0.2921376694034154,6,0.6184667326153216,0.3263290632119062,-111.70386341423009,Baseline supera a XGBoost
SANTA FE,0.14885533948000132,6,0.6168559858007466,0.46800064632074534,-314.39963655695476,Baseline supera a XGBoost
SUMAPAZ,1.6815724512242483,3,10.031989733378092,8.350417282153844,-496.58385376582646,Baseline supera a XGBoost
