variable,rezago_bimestres,n_pares_validos,pearson,p_pearson,spearman,p_spearman,p_pearson_ajustado_bh,p_spearman_ajustado_bh,pearson_contemporaneo,spearman_contemporaneo,p_pearson_contemporaneo_ajustado_bh,p_spearman_contemporaneo_ajustado_bh,cambio_abs_pearson_vs_contemporaneo,cambio_abs_spearman_vs_contemporaneo,direccion_spearman,magnitud_spearman
ALLSKY_SFC_LW_DWN,1,575,-0.027537389047484907,0.509888417455311,0.007915824405216246,0.8497756298310976,0.6391886686953628,0.8806765618249557,-0.02598749510435246,-0.001744414143975239,0.6651740051759569,0.9661023397779878,0.0015498939431324472,0.006171410261241007,positiva,muy debil
ALLSKY_SFC_SW_DWN,1,575,0.01450414808423197,0.7285472416581014,-0.008891262774522842,0.8315256753595239,0.7723857126816611,0.8777215462128308,-0.02895583733309122,-0.041180011423319875,0.6651740051759569,0.6425581961559887,-0.01445168924885925,-0.032288748648797036,negativa,muy debil
ALLSKY_SRF_ALB,1,575,-0.01192710692945681,0.7753455501559234,-0.03871441206550506,0.3540998382851458,0.7891910064087078,0.5455051562771165,-0.0057782624649145645,-0.023437685468466227,0.8880513315140894,0.7544776260575593,0.0061488444645422455,0.015276726597038836,negativa,muy debil
CLOUD_AMT,1,575,-0.03439217488615928,0.4104259404368043,-0.04921208131918933,0.2387127805398027,0.6156389106552065,0.4222739852672904,-0.028706098576091972,-0.040695656812757774,0.6651740051759569,0.6425581961559887,0.00568607631006731,0.008516424506431558,negativa,muy debil
GWETPROF,1,575,-0.03949664209385188,0.3444525770159036,-0.04861405692039029,0.24447441252316812,0.5774646144090149,0.4222739852672904,0.013869348877240058,0.026709075430760745,0.76741462029377,0.7544776260575593,0.025627293216611825,0.021904981489629542,negativa,muy debil
GWETROOT,1,575,-0.027151650200794387,0.5158364694734507,-0.056518400662796384,0.17592901875223443,0.6391886686953628,0.40111816275509454,0.0269070965873541,0.021682770807636385,0.6651740051759569,0.7544776260575593,0.0002445536134402862,0.03483562985516,negativa,muy debil
GWETTOP,1,575,-0.014327027947874913,0.7317338330668368,-0.04667475968566326,0.2638254985677103,0.7723857126816611,0.44229568877527903,0.03890093002976974,0.03193467854989096,0.633415364533062,0.7482154039938858,-0.02457390208189483,0.014740081135772298,negativa,muy debil
ONI,1,575,-0.02810237761193557,0.5012414034484419,-0.036581493405684104,0.38125969278935334,0.6391886686953628,0.57188953918403,-0.01665062025278982,0.026144959721369276,0.747257903531267,0.7544776260575593,0.011451757359145748,0.010436533684314828,negativa,muy debil
PRECTOTCORR,1,575,-0.015976158623183946,0.7022495528523632,0.022388001920831846,0.5921352452317441,0.7723857126816611,0.7337328038741177,0.05032561384631469,0.07068959917778032,0.5277519421286998,0.3721661893700528,-0.034349455223130744,-0.04830159725694848,positiva,muy debil
PRECTOTCORR_SUM,1,575,-0.017527947869908297,0.6749070002134756,0.019351238246312897,0.6433213676160001,0.7693939802433621,0.763944124044,0.04771276511743548,0.06580007490748903,0.5341432395378048,0.3721661893700528,-0.030184817247527185,-0.046448836661176135,positiva,muy debil
PS,1,575,-0.14065368004224527,0.0007189586839812249,-0.1421125434810015,0.0006315622933462725,0.0068301074978216365,0.009779931817394089,-0.14622360265039563,-0.06868027341610806,0.002732525915014197,0.3721661893700528,-0.005569922608150368,0.07343227006489343,negativa,debil
QV2M,1,575,-0.04065861915387051,0.3304338803351971,0.029444061405016455,0.4810217491564407,0.5774646144090149,0.6687375537052956,-0.021680885051481285,0.03836366090724774,0.7167920158554643,0.6458064644477809,0.01897773410238922,-0.008919599502231288,positiva,muy debil
RH2M,1,575,0.007135449507827806,0.8644345719868586,0.003677901668783277,0.9298755908351737,0.8644345719868586,0.9298755908351737,0.03610580626622542,0.023155175066397804,0.6495738673883061,0.7544776260575593,-0.028970356758397615,-0.019477273397614528,positiva,muy debil
T2M,1,575,-0.052996033662023614,0.20446720897291523,-0.04317300350629865,0.3013786874704516,0.4316529967205988,0.47718292182821503,-0.06681003780034138,-0.05267739646742537,0.3538985051461954,0.5972043238404563,-0.013814004138317765,-0.00950439296112672,negativa,muy debil
T2M_MAX,1,575,-0.03334441640632469,0.4248397282199433,0.004824858666127165,0.9080924495503532,0.6209196027829941,0.9243083861494666,-0.06791236256097971,-0.04693205276773203,0.3538985051461954,0.6425581961559887,-0.03456794615465502,-0.042107194101604864,positiva,muy debil
T2M_MIN,1,575,-0.03754290961534731,0.3688630185103937,0.020960045627322652,0.6159731028030466,0.5840331126414567,0.7470312097824183,-0.050390964956594536,-0.006660989738635005,0.5277519421286998,0.9661023397779878,-0.012848055341247229,0.014299055888687648,positiva,muy debil
TS,1,575,-0.04229441206560566,0.3113322702128863,-0.02326285315243476,0.577742609613352,0.5774646144090149,0.7318073055102458,-0.060428573200469626,-0.04368683823396342,0.42184942856742075,0.6425581961559887,-0.018134161134863963,-0.020423985081528657,negativa,muy debil
WS10M,1,575,0.03955219362431382,0.34377387969549744,-0.062259138012849095,0.1359300533263229,0.5774646144090149,0.3689530018857336,0.029408267999427178,0.0029816312245964593,0.6651740051759569,0.9661023397779878,0.010143925624886644,0.05927750678825264,negativa,muy debil
