PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,localidad,latitud,longitud
IMERG_PRECTOT,2020,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Suba,4.7594,-74.09035
IMERG_PRECTOT,2021,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Suba,4.7594,-74.09035
IMERG_PRECTOT,2022,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Suba,4.7594,-74.09035
IMERG_PRECTOT,2023,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Suba,4.7594,-74.09035
IMERG_PRECTOT,2024,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Suba,4.7594,-74.09035
PRECTOTCORR,2020,0.85,5.0,3.04,4.48,3.53,10.27,6.16,3.94,3.89,1.81,1.55,2.78,3.92,Suba,4.7594,-74.09035
PRECTOTCORR,2021,3.09,3.32,3.58,4.64,0.51,4.57,0.98,1.14,3.45,2.46,2.47,2.14,2.68,Suba,4.7594,-74.09035
PRECTOTCORR,2022,1.79,4.54,5.37,7.94,8.08,6.72,6.19,4.33,4.38,7.64,6.26,1.93,5.43,Suba,4.7594,-74.09035
PRECTOTCORR,2023,5.24,1.6,5.12,5.83,5.55,3.67,3.97,3.54,3.78,5.65,4.51,2.95,4.3,Suba,4.7594,-74.09035
PRECTOTCORR,2024,0.48,1.98,2.07,6.46,9.55,7.85,3.82,1.97,3.03,5.36,6.36,3.81,4.39,Suba,4.7594,-74.09035
PRECTOTCORR_SUM,2020,26.21,145.09,94.25,134.3,109.32,308.06,191.04,122.05,116.79,56.12,46.63,86.26,1436.12,Suba,4.7594,-74.09035
PRECTOTCORR_SUM,2021,95.7,92.83,111.12,139.25,15.76,137.08,30.49,35.28,103.5,76.34,74.22,66.29,977.86,Suba,4.7594,-74.09035
PRECTOTCORR_SUM,2022,55.63,127.1,166.59,238.18,250.36,201.74,191.76,134.19,131.44,236.72,187.7,59.84,1981.25,Suba,4.7594,-74.09035
PRECTOTCORR_SUM,2023,162.38,44.9,158.82,174.78,171.93,109.98,122.97,109.75,113.44,175.17,135.26,91.39,1570.77,Suba,4.7594,-74.09035
