-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  4.6106   Longitude -74.0746 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1790.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SRF_ALB        CERES SYN1deg All Sky Surface Albedo (dimensionless) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2001,0.56,0.46,0.41,0.44,0.45,0.46,0.46,0.44,0.46,0.47,0.45,0.45,0.46
ALLSKY_KT,2002,0.54,0.52,0.46,0.42,0.44,0.46,0.47,0.45,0.47,0.5,0.47,0.5,0.47
ALLSKY_KT,2003,0.57,0.45,0.42,0.42,0.45,0.45,0.45,0.46,0.45,0.44,0.47,0.49,0.46
ALLSKY_KT,2004,0.53,0.53,0.46,0.41,0.44,0.49,0.47,0.46,0.47,0.47,0.48,0.48,0.47
ALLSKY_KT,2005,0.5,0.46,0.48,0.42,0.48,0.45,0.49,0.43,0.45,0.46,0.48,0.5,0.47
ALLSKY_KT,2006,0.49,0.5,0.39,0.41,0.46,0.46,0.47,0.47,0.48,0.44,0.47,0.47,0.46
ALLSKY_KT,2007,0.5,0.59,0.41,0.45,0.44,0.45,0.48,0.42,0.46,0.47,0.49,0.48,0.47
ALLSKY_KT,2008,0.49,0.48,0.46,0.43,0.44,0.45,0.45,0.45,0.46,0.46,0.45,0.52,0.46
ALLSKY_KT,2009,0.43,0.46,0.4,0.43,0.46,0.47,0.46,0.46,0.51,0.49,0.48,0.55,0.47
ALLSKY_KT,2010,0.57,0.49,0.44,0.43,0.46,0.45,0.45,0.43,0.44,0.45,0.44,0.46,0.46
ALLSKY_KT,2011,0.55,0.44,0.45,0.43,0.42,0.46,0.46,0.49,0.47,0.44,0.46,0.48,0.46
ALLSKY_KT,2012,0.48,0.5,0.43,0.41,0.46,0.48,0.45,0.45,0.46,0.48,0.49,0.52,0.47
ALLSKY_KT,2013,0.52,0.41,0.43,0.45,0.42,0.5,0.49,0.45,0.48,0.48,0.46,0.46,0.46
ALLSKY_KT,2014,0.49,0.46,0.44,0.44,0.46,0.45,0.48,0.45,0.49,0.45,0.47,0.51,0.47
ALLSKY_KT,2015,0.52,0.47,0.44,0.44,0.44,0.44,0.47,0.44,0.5,0.48,0.45,0.53,0.47
ALLSKY_KT,2016,0.57,0.46,0.45,0.42,0.45,0.47,0.45,0.47,0.47,0.48,0.45,0.48,0.47
ALLSKY_KT,2017,0.46,0.53,0.4,0.45,0.47,0.45,0.47,0.49,0.48,0.44,0.48,0.5,0.47
ALLSKY_KT,2018,0.5,0.46,0.46,0.42,0.44,0.46,0.46,0.5,0.49,0.48,0.47,0.56,0.47
ALLSKY_KT,2019,0.5,0.46,0.39,0.44,0.44,0.47,0.5,0.49,0.47,0.47,0.47,0.49,0.46
ALLSKY_KT,2020,0.55,0.53,0.45,0.45,0.44,0.47,0.46,0.46,0.5,0.48,0.47,0.52,0.48
ALLSKY_KT,2021,0.53,0.45,0.4,0.45,0.48,0.48,0.47,0.46,0.49,0.49,0.51,0.5,0.47
ALLSKY_KT,2022,0.51,0.43,0.43,0.42,0.45,0.43,0.45,0.48,0.46,0.47,0.46,0.53,0.46
ALLSKY_KT,2023,0.49,0.51,0.39,0.41,0.47,0.49,0.47,0.5,0.49,0.48,0.47,0.48,0.47
ALLSKY_KT,2024,0.59,0.49,0.44,0.45,0.43,0.45,0.48,0.49,0.48,0.52,0.44,0.47,0.48
ALLSKY_KT,2025,0.52,0.4,0.4,0.44,0.43,0.45,0.47,0.47,0.46,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,2001,5.3719,4.6114,4.2288,4.5708,4.4729,4.4779,4.56,4.4741,4.6927,4.7333,4.3711,4.1777,4.5619
ALLSKY_SFC_SW_DWN,2002,5.1538,5.1919,4.7654,4.3423,4.4023,4.4815,4.6032,4.5871,4.8307,5.0597,4.4846,4.6594,4.7114
ALLSKY_SFC_SW_DWN,2003,5.406,4.5271,4.4057,4.3109,4.5228,4.3966,4.4544,4.6774,4.6421,4.4815,4.5595,4.5775,4.5816
ALLSKY_SFC_SW_DWN,2004,5.0174,5.2992,4.8173,4.272,4.3783,4.7578,4.5972,4.7006,4.8005,4.7246,4.6327,4.4659,4.703
ALLSKY_SFC_SW_DWN,2005,4.8269,4.6279,4.9685,4.3272,4.764,4.3483,4.8341,4.3387,4.5758,4.6332,4.6351,4.6956,4.633
ALLSKY_SFC_SW_DWN,2006,4.6639,4.986,4.0757,4.2456,4.6282,4.5094,4.5643,4.7882,4.907,4.4712,4.543,4.3961,4.5617
ALLSKY_SFC_SW_DWN,2007,4.7513,5.9592,4.2506,4.6495,4.3814,4.3704,4.7522,4.2226,4.7494,4.7556,4.7561,4.4664,4.662
ALLSKY_SFC_SW_DWN,2008,4.685,4.8571,4.7762,4.4544,4.3747,4.3766,4.4525,4.531,4.7426,4.667,4.373,4.8602,4.5958
ALLSKY_SFC_SW_DWN,2009,4.1143,4.6733,4.1165,4.4611,4.6392,4.5742,4.5223,4.6445,5.2656,4.921,4.6087,5.0894,4.6346
ALLSKY_SFC_SW_DWN,2010,5.4391,4.9692,4.6039,4.4942,4.589,4.397,4.3814,4.3692,4.5288,4.5766,4.2792,4.3399,4.5792
ALLSKY_SFC_SW_DWN,2011,5.2109,4.379,4.6999,4.4748,4.2019,4.5247,4.4868,4.9198,4.8473,4.4362,4.4726,4.4887,4.5972
ALLSKY_SFC_SW_DWN,2012,4.6013,5.0458,4.4798,4.1988,4.5715,4.7081,4.4172,4.5434,4.7184,4.8067,4.6994,4.8132,4.632
ALLSKY_SFC_SW_DWN,2013,5.0146,4.157,4.4546,4.6894,4.2466,4.9145,4.7942,4.5478,4.9558,4.8574,4.4534,4.3387,4.621
ALLSKY_SFC_SW_DWN,2014,4.6812,4.5833,4.5758,4.5857,4.5833,4.3951,4.7146,4.535,5.0618,4.5523,4.4897,4.777,4.6282
ALLSKY_SFC_SW_DWN,2015,4.9387,4.7654,4.6193,4.6006,4.4441,4.2559,4.6025,4.4856,5.1422,4.8146,4.3754,4.9558,4.6666
ALLSKY_SFC_SW_DWN,2016,5.4125,4.6409,4.6853,4.307,4.4916,4.5732,4.4395,4.7513,4.8432,4.7964,4.3224,4.4484,4.644
ALLSKY_SFC_SW_DWN,2017,4.3788,5.3412,4.2166,4.6843,4.6493,4.3982,4.631,4.919,4.9673,4.4849,4.5818,4.6937,4.6567
ALLSKY_SFC_SW_DWN,2018,4.7647,4.6128,4.7758,4.295,4.3841,4.5262,4.535,5.065,5.0278,4.8869,4.5137,5.2181,4.7194
ALLSKY_SFC_SW_DWN,2019,4.7834,4.6663,4.0416,4.5017,4.4453,4.5384,4.8612,4.9294,4.8665,4.6982,4.4995,4.5965,4.6188
ALLSKY_SFC_SW_DWN,2020,5.2562,5.375,4.6385,4.6164,4.3577,4.549,4.53,4.6135,5.1545,4.8542,4.4902,4.8569,4.7719
ALLSKY_SFC_SW_DWN,2021,5.099,4.5768,4.1347,4.6094,4.801,4.6502,4.6519,4.656,4.9906,4.9039,4.932,4.6253,4.7196
ALLSKY_SFC_SW_DWN,2022,4.8768,4.2888,4.4743,4.321,4.4604,4.1621,4.4129,4.8427,4.7376,4.7861,4.3978,4.9879,4.5662
ALLSKY_SFC_SW_DWN,2023,4.697,5.1509,4.11,4.2487,4.7364,4.799,4.626,5.0287,5.0774,4.8936,4.5456,4.4462,4.6932
ALLSKY_SFC_SW_DWN,2024,5.6542,4.8941,4.5355,4.6591,4.2542,4.4143,4.7431,5.0006,4.9596,5.2392,4.2672,4.3942,4.7525
ALLSKY_SFC_SW_DWN,2025,5.0047,4.0298,4.1774,4.5065,4.2696,4.4134,4.6426,4.7873,4.7791,-999.0,-999.0,-999.0,-999.0
ALLSKY_SRF_ALB,2001,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.16,0.14,0.16,0.15,0.15
ALLSKY_SRF_ALB,2002,0.15,0.16,0.14,0.13,0.14,0.15,0.16,0.15,0.13,0.18,0.16,0.16,0.15
ALLSKY_SRF_ALB,2003,0.14,0.13,0.12,0.13,0.15,0.16,0.14,0.14,0.15,0.16,0.16,0.15,0.14
ALLSKY_SRF_ALB,2004,0.17,0.17,0.14,0.14,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.16,0.16
ALLSKY_SRF_ALB,2005,0.18,0.14,0.14,0.14,0.15,0.17,0.16,0.15,0.15,0.14,0.15,0.13,0.15
