-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  4.6106   Longitude -74.0746 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1790.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface Total PAR (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
CLRSKY_KT               CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface Total PAR (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2001,0.56,0.46,0.41,0.44,0.45,0.46,0.46,0.44,0.46,0.47,0.45,0.45,0.46
ALLSKY_KT,2002,0.54,0.52,0.46,0.42,0.44,0.46,0.47,0.45,0.47,0.5,0.47,0.5,0.47
ALLSKY_KT,2003,0.57,0.45,0.42,0.42,0.45,0.45,0.45,0.46,0.45,0.44,0.47,0.49,0.46
ALLSKY_KT,2004,0.53,0.53,0.46,0.41,0.44,0.49,0.47,0.46,0.47,0.47,0.48,0.48,0.47
ALLSKY_KT,2005,0.5,0.46,0.48,0.42,0.48,0.45,0.49,0.43,0.45,0.46,0.48,0.5,0.47
ALLSKY_KT,2006,0.49,0.5,0.39,0.41,0.46,0.46,0.47,0.47,0.48,0.44,0.47,0.47,0.46
ALLSKY_KT,2007,0.5,0.59,0.41,0.45,0.44,0.45,0.48,0.42,0.46,0.47,0.49,0.48,0.47
ALLSKY_KT,2008,0.49,0.48,0.46,0.43,0.44,0.45,0.45,0.45,0.46,0.46,0.45,0.52,0.46
ALLSKY_KT,2009,0.43,0.46,0.4,0.43,0.46,0.47,0.46,0.46,0.51,0.49,0.48,0.55,0.47
ALLSKY_KT,2010,0.57,0.49,0.44,0.43,0.46,0.45,0.45,0.43,0.44,0.45,0.44,0.46,0.46
ALLSKY_KT,2011,0.55,0.44,0.45,0.43,0.42,0.46,0.46,0.49,0.47,0.44,0.46,0.48,0.46
ALLSKY_KT,2012,0.48,0.5,0.43,0.41,0.46,0.48,0.45,0.45,0.46,0.48,0.49,0.52,0.47
ALLSKY_KT,2013,0.52,0.41,0.43,0.45,0.42,0.5,0.49,0.45,0.48,0.48,0.46,0.46,0.46
ALLSKY_KT,2014,0.49,0.46,0.44,0.44,0.46,0.45,0.48,0.45,0.49,0.45,0.47,0.51,0.47
ALLSKY_KT,2015,0.52,0.47,0.44,0.44,0.44,0.44,0.47,0.44,0.5,0.48,0.45,0.53,0.47
ALLSKY_KT,2016,0.57,0.46,0.45,0.42,0.45,0.47,0.45,0.47,0.47,0.48,0.45,0.48,0.47
ALLSKY_KT,2017,0.46,0.53,0.4,0.45,0.47,0.45,0.47,0.49,0.48,0.44,0.48,0.5,0.47
ALLSKY_KT,2018,0.5,0.46,0.46,0.42,0.44,0.46,0.46,0.5,0.49,0.48,0.47,0.56,0.47
ALLSKY_KT,2019,0.5,0.46,0.39,0.44,0.44,0.47,0.5,0.49,0.47,0.47,0.47,0.49,0.46
ALLSKY_KT,2020,0.55,0.53,0.45,0.45,0.44,0.47,0.46,0.46,0.5,0.48,0.47,0.52,0.48
ALLSKY_KT,2021,0.53,0.45,0.4,0.45,0.48,0.48,0.47,0.46,0.49,0.49,0.51,0.5,0.47
ALLSKY_KT,2022,0.51,0.43,0.43,0.42,0.45,0.43,0.45,0.48,0.46,0.47,0.46,0.53,0.46
ALLSKY_KT,2023,0.49,0.51,0.39,0.41,0.47,0.49,0.47,0.5,0.49,0.48,0.47,0.48,0.47
ALLSKY_KT,2024,0.59,0.49,0.44,0.45,0.43,0.45,0.48,0.49,0.48,0.52,0.44,0.47,0.48
ALLSKY_KT,2025,0.52,0.4,0.4,0.44,0.43,0.45,0.47,0.47,0.46,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,2001,2.4578,2.1276,1.969,2.1737,2.1691,2.0758,2.1137,2.0806,2.2735,2.196,2.0808,1.9807,2.1415
ALLSKY_SFC_PAR_TOT,2002,2.3359,2.4089,2.1773,2.1091,2.1127,2.1374,2.1362,2.1394,2.2658,2.4094,2.1775,2.2138,2.2176
ALLSKY_SFC_PAR_TOT,2003,2.441,2.0724,2.0482,2.0832,2.1614,2.1094,2.0654,2.1374,2.2435,2.0717,2.1847,2.1192,2.1454
ALLSKY_SFC_PAR_TOT,2004,2.2831,2.4475,2.2382,2.0671,2.129,2.2558,2.2102,2.1893,2.2366,2.177,2.2308,2.0918,2.2118
ALLSKY_SFC_PAR_TOT,2005,2.2387,2.2133,2.3323,2.0969,2.279,2.0765,2.2788,2.0326,2.135,2.1682,2.1782,2.1852,2.185
ALLSKY_SFC_PAR_TOT,2006,2.172,2.2846,1.9858,2.0532,2.2332,2.1408,2.0678,2.2666,2.299,2.1101,2.1804,2.0592,2.153
ALLSKY_SFC_PAR_TOT,2007,2.1672,2.7041,2.0537,2.2411,2.1427,2.1151,2.2322,1.9949,2.2111,2.2702,2.2714,2.0726,2.2022
ALLSKY_SFC_PAR_TOT,2008,2.2032,2.2303,2.2498,2.1341,2.1257,2.131,2.1432,2.147,2.2471,2.2646,2.1353,2.232,2.1869
ALLSKY_SFC_PAR_TOT,2009,1.8794,2.1898,2.0186,2.1504,2.2366,2.214,2.1598,2.2106,2.4446,2.2721,2.1439,2.4175,2.1943
ALLSKY_SFC_PAR_TOT,2010,2.5272,2.3561,2.1799,2.1922,2.251,2.1473,2.106,2.0822,2.1696,2.1842,2.095,2.1103,2.1994
ALLSKY_SFC_PAR_TOT,2011,2.3947,2.0851,2.237,2.1581,2.0587,2.197,2.1127,2.3215,2.2949,2.1374,2.184,2.1173,2.1922
ALLSKY_SFC_PAR_TOT,2012,2.1869,2.3952,2.1917,2.0398,2.2234,2.2387,2.0822,2.1538,2.2327,2.2754,2.2776,2.3102,2.2166
ALLSKY_SFC_PAR_TOT,2013,2.3774,1.9939,2.1298,2.2238,2.076,2.3215,2.2906,2.1761,2.3177,2.3167,2.1511,2.0798,2.2058
ALLSKY_SFC_PAR_TOT,2014,2.1662,2.1686,2.1744,2.1929,2.2147,2.1403,2.2241,2.1274,2.3882,2.1869,2.1451,2.2805,2.2008
ALLSKY_SFC_PAR_TOT,2015,2.2721,2.237,2.1953,2.2205,2.1545,2.0818,2.1902,2.1362,2.4218,2.2997,2.117,2.3558,2.2236
ALLSKY_SFC_PAR_TOT,2016,2.5498,2.2114,2.2025,2.0928,2.1746,2.1866,2.1334,2.2622,2.2874,2.2932,2.1103,2.1221,2.2195
ALLSKY_SFC_PAR_TOT,2017,2.1022,2.4984,2.0347,2.2495,2.256,2.1499,2.203,2.3261,2.3582,2.1667,2.2138,2.2258,2.2296
ALLSKY_SFC_PAR_TOT,2018,2.2858,2.1806,2.2562,2.077,2.1269,2.2051,2.1763,2.3839,2.3683,2.3357,2.1422,2.4583,2.2507
ALLSKY_SFC_PAR_TOT,2019,2.2642,2.2241,1.9274,2.1626,2.1629,2.1557,2.317,2.3165,2.3083,2.256,2.1538,2.1878,2.203
ALLSKY_SFC_PAR_TOT,2020,2.4682,2.5181,2.1564,2.1974,2.1461,2.2106,2.1986,2.1926,2.4427,2.2987,2.1314,2.2886,2.2697
ALLSKY_SFC_PAR_TOT,2021,2.3861,2.1689,1.9896,2.2145,2.341,2.2562,2.2373,2.2342,2.4065,2.3491,2.3731,2.2183,2.2649
ALLSKY_SFC_PAR_TOT,2022,2.3117,2.0748,2.1506,2.0978,2.1934,2.0402,2.1379,2.3112,2.2968,2.3503,2.1456,2.3803,2.2094
