-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  4.6106   Longitude -74.0746 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1790.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,2001,8.6076,9.0007,9.0768,9.0197,8.9695,8.9328,8.9232,9.091,8.9933,9.0288,8.9676,9.0288,8.9695
ALLSKY_SFC_LW_DWN,2002,8.7672,8.9722,9.0845,9.0276,8.9969,8.9206,8.8754,8.9525,8.8452,8.9438,8.9628,8.8375,8.9318
ALLSKY_SFC_LW_DWN,2003,8.6933,9.0622,9.0569,9.0146,8.9717,8.826,8.885,8.9299,9.0466,8.9681,8.8644,8.7785,8.9234
ALLSKY_SFC_LW_DWN,2004,8.73,8.7571,8.9858,8.9894,8.9918,8.6842,8.7941,8.8994,8.892,8.9657,8.8601,8.8466,8.867
ALLSKY_SFC_LW_DWN,2005,8.8464,9.0617,8.9662,9.0612,8.927,8.923,8.8032,8.9513,9.0756,8.9304,8.8644,8.7334,8.927
ALLSKY_SFC_LW_DWN,2006,8.8418,8.8913,9.0756,8.9412,8.8841,8.803,8.8205,8.8603,8.9292,9.0576,8.8663,8.8229,8.8997
ALLSKY_SFC_LW_DWN,2007,8.8682,8.5231,9.0862,8.9966,8.9921,8.8634,8.8241,8.9429,8.9052,8.9035,8.8176,8.8409,8.8831
ALLSKY_SFC_LW_DWN,2008,8.802,8.8625,8.9275,8.9326,8.8946,8.849,8.8284,8.8795,8.8241,8.9098,8.9314,8.7434,8.8651
ALLSKY_SFC_LW_DWN,2009,8.9126,8.9398,9.0374,9.0005,8.8963,8.8572,8.891,8.9304,8.8714,8.9501,8.9374,8.7348,8.9129
ALLSKY_SFC_LW_DWN,2010,8.6366,9.0562,9.1277,9.0485,9.0386,8.9266,8.8855,8.9378,8.9059,8.8486,8.8231,8.7307,8.9124
ALLSKY_SFC_LW_DWN,2011,8.663,8.8714,8.9004,8.9743,8.9561,8.863,8.7888,8.843,8.8166,8.8291,8.8769,8.856,8.8526
ALLSKY_SFC_LW_DWN,2012,8.8546,8.7538,8.9813,8.9376,8.8874,8.7876,8.8286,8.8999,8.9105,8.8529,8.8788,8.7914,8.8642
ALLSKY_SFC_LW_DWN,2013,8.8282,9.0766,9.0221,9.0125,8.9878,8.796,8.7605,8.9503,8.9198,8.8826,8.9088,8.862,8.916
ALLSKY_SFC_LW_DWN,2014,8.8591,8.9942,8.9854,9.007,8.9832,8.9088,8.8812,8.9239,8.8814,8.987,8.8534,8.7415,8.9165
ALLSKY_SFC_LW_DWN,2015,8.6246,8.8759,9.0482,8.9916,8.9969,8.8987,8.9141,9.0223,8.898,9.0,8.9623,8.6916,8.9102
ALLSKY_SFC_LW_DWN,2016,8.7149,9.151,9.1308,9.1054,8.9904,8.8255,8.8942,8.9784,8.9971,8.928,8.9335,8.8382,8.9561
ALLSKY_SFC_LW_DWN,2017,8.8711,8.725,9.0482,8.915,8.9474,8.94,8.8658,8.8834,8.8774,8.9035,8.9009,8.7643,8.8879
ALLSKY_SFC_LW_DWN,2018,8.8188,9.0511,9.0377,8.9378,8.9347,8.8709,8.9455,8.7631,8.9203,8.9071,8.9496,8.6938,8.9011
ALLSKY_SFC_LW_DWN,2019,8.8778,9.1205,9.1054,9.0413,8.9815,8.9098,8.8258,8.8442,8.916,8.9071,8.9182,8.9009,8.9443
ALLSKY_SFC_LW_DWN,2020,8.736,8.8277,9.0941,9.0602,9.0432,8.8531,8.8733,8.8934,8.9453,8.9417,8.9474,8.9114,8.9275
