-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.6704   Longitude -74.0434 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2099.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETPROF     MERRA-2 Profile Soil Moisture (1) 
GWETROOT     MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP      MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETPROF,2020,0.81,0.74,0.75,0.84,0.9,0.95,0.96,0.92,0.91,0.83,0.78,0.71,0.84
GWETPROF,2021,0.76,0.74,0.75,0.8,0.76,0.73,0.72,0.66,0.65,0.66,0.68,0.63,0.71
GWETPROF,2022,0.6,0.6,0.73,0.82,0.94,0.96,0.95,0.95,0.91,0.92,0.94,0.91,0.85
GWETPROF,2023,0.9,0.82,0.84,0.89,0.95,0.96,0.95,0.92,0.89,0.9,0.93,0.9,0.9
GWETPROF,2024,0.84,0.75,0.7,0.75,0.9,0.96,0.94,0.88,0.78,0.82,0.91,0.89,0.84
GWETROOT,2020,0.8,0.73,0.74,0.83,0.91,0.97,0.97,0.93,0.92,0.82,0.76,0.69,0.84
GWETROOT,2021,0.75,0.73,0.74,0.8,0.75,0.73,0.71,0.65,0.64,0.65,0.67,0.62,0.7
GWETROOT,2022,0.58,0.6,0.73,0.83,0.94,0.97,0.97,0.97,0.91,0.93,0.95,0.91,0.86
GWETROOT,2023,0.9,0.81,0.83,0.9,0.95,0.97,0.96,0.93,0.89,0.91,0.94,0.9,0.91
GWETROOT,2024,0.84,0.73,0.68,0.75,0.91,0.97,0.95,0.88,0.77,0.81,0.91,0.89,0.84
GWETTOP,2020,0.79,0.73,0.74,0.84,0.89,0.93,0.93,0.89,0.89,0.81,0.76,0.7,0.83
GWETTOP,2021,0.75,0.74,0.75,0.8,0.75,0.73,0.7,0.63,0.64,0.65,0.67,0.61,0.7
GWETTOP,2022,0.57,0.61,0.75,0.83,0.92,0.93,0.93,0.92,0.89,0.9,0.91,0.88,0.84
GWETTOP,2023,0.88,0.8,0.82,0.88,0.92,0.93,0.92,0.9,0.87,0.89,0.91,0.88,0.88
GWETTOP,2024,0.82,0.74,0.7,0.77,0.89,0.93,0.91,0.86,0.77,0.82,0.89,0.88,0.83
