-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.626   Longitude -74.1004 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1790.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
IMERG_PRECTOT       MERRA-2 Total Precipitation (mm/day) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
IMERG_PRECTOT,2020,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2021,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2022,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2023,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2024,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PRECTOTCORR,2020,0.76,4.57,3.42,5.2,4.54,10.42,6.62,3.91,3.98,1.96,2.37,3.68,4.27
PRECTOTCORR,2021,3.39,3.51,4.26,5.89,1.74,6.56,1.86,2.29,4.83,3.11,2.88,2.11,3.52
PRECTOTCORR,2022,1.85,4.7,6.45,8.67,10.29,6.91,7.36,5.24,4.5,8.15,5.97,2.28,6.04
PRECTOTCORR,2023,5.85,1.93,5.33,7.27,7.13,5.06,4.88,4.25,4.65,6.48,5.67,4.32,5.26
PRECTOTCORR,2024,0.62,2.34,2.58,7.44,11.99,8.27,4.15,1.92,2.87,5.74,6.53,5.08,4.96
PRECTOTCORR_SUM,2020,23.51,132.39,106.01,156.11,140.88,312.54,205.21,121.34,119.27,60.73,71.11,113.99,1563.09
PRECTOTCORR_SUM,2021,105.14,98.38,132.12,176.72,53.85,196.89,57.61,71.11,145.0,96.44,86.48,65.48,1285.22
PRECTOTCORR_SUM,2022,57.49,131.69,199.88,260.12,319.0,207.29,228.31,162.59,135.09,252.6,179.19,70.75,2204.0
PRECTOTCORR_SUM,2023,181.32,54.03,165.16,218.01,220.91,151.78,151.41,131.76,139.46,200.76,170.2,133.78,1918.58
PRECTOTCORR_SUM,2024,19.18,67.75,80.08,223.34,371.83,247.96,128.74,59.62,85.99,178.05,195.92,157.62,1816.08
QV2M,2020,12.95,12.77,13.48,13.71,13.48,12.66,12.32,12.62,12.39,11.92,13.15,12.46,12.82
QV2M,2021,11.86,12.67,12.83,13.21,13.02,12.5,11.97,12.05,11.82,13.03,12.99,13.14,12.59
QV2M,2022,11.98,12.49,13.3,13.3,13.13,12.68,12.48,12.11,12.55,13.18,13.54,12.71,12.79
QV2M,2023,12.33,12.63,13.49,13.54,13.72,12.66,12.76,12.45,12.79,13.55,13.59,13.75,13.11
QV2M,2024,12.42,13.49,13.54,13.67,14.32,13.51,13.01,12.39,12.52,13.1,13.66,13.68,13.27
RH2M,2020,79.68,76.77,80.22,79.98,78.76,79.16,78.15,77.94,76.04,72.36,81.53,74.79,77.94
RH2M,2021,73.39,74.45,79.49,79.32,78.49,79.13,75.01,73.34,72.27,76.91,77.9,76.74,76.38
RH2M,2022,71.83,75.21,81.54,81.47,80.97,81.94,79.52,77.79,78.1,83.25,87.01,82.2,80.09
RH2M,2023,82.16,78.37,84.32,83.93,81.59,79.4,78.49,76.52,75.41,80.4,81.35,80.68,80.24
RH2M,2024,71.83,74.4,71.98,76.39,82.57,81.56,80.19,75.88,73.35,77.96,84.71,82.06,77.74
