-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.7594   Longitude -74.0904 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1563.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETPROF     MERRA-2 Profile Soil Moisture (1) 
GWETROOT     MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP      MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETPROF,2020,0.7,0.67,0.67,0.67,0.66,0.71,0.72,0.71,0.71,0.66,0.63,0.6,0.68
GWETPROF,2021,0.62,0.6,0.61,0.62,0.6,0.59,0.58,0.55,0.54,0.53,0.54,0.53,0.58
GWETPROF,2022,0.52,0.53,0.58,0.63,0.71,0.77,0.76,0.77,0.73,0.75,0.81,0.79,0.7
GWETPROF,2023,0.78,0.73,0.73,0.75,0.75,0.75,0.72,0.69,0.66,0.68,0.7,0.67,0.72
GWETPROF,2024,0.63,0.59,0.56,0.57,0.68,0.74,0.77,0.7,0.64,0.64,0.7,0.69,0.66
GWETROOT,2020,0.65,0.63,0.63,0.63,0.62,0.7,0.69,0.67,0.67,0.61,0.6,0.56,0.64
GWETROOT,2021,0.59,0.58,0.58,0.6,0.56,0.57,0.54,0.51,0.52,0.51,0.52,0.51,0.55
GWETROOT,2022,0.5,0.52,0.58,0.62,0.69,0.73,0.72,0.73,0.68,0.72,0.78,0.74,0.67
GWETROOT,2023,0.74,0.67,0.69,0.71,0.71,0.71,0.68,0.65,0.62,0.66,0.67,0.63,0.68
GWETROOT,2024,0.58,0.55,0.52,0.57,0.67,0.72,0.72,0.64,0.59,0.62,0.67,0.65,0.63
GWETTOP,2020,0.65,0.65,0.65,0.66,0.63,0.72,0.71,0.68,0.68,0.6,0.61,0.54,0.65
GWETTOP,2021,0.61,0.59,0.61,0.63,0.54,0.59,0.51,0.46,0.52,0.51,0.53,0.52,0.55
GWETTOP,2022,0.51,0.54,0.62,0.67,0.72,0.76,0.74,0.73,0.7,0.75,0.79,0.74,0.69
GWETTOP,2023,0.75,0.68,0.72,0.73,0.73,0.71,0.69,0.65,0.63,0.68,0.69,0.64,0.69
GWETTOP,2024,0.55,0.55,0.5,0.6,0.72,0.75,0.73,0.65,0.61,0.65,0.71,0.67,0.64
