-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.7594   Longitude -74.0904 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1563.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,2020,31.45,31.78,32.74,32.62,32.56,31.87,31.94,32.02,32.2,32.19,32.21,32.08,32.14
ALLSKY_SFC_LW_DWN,2021,31.83,33.35,33.06,32.29,32.28,31.9,31.94,32.09,31.99,32.28,31.96,32.3,32.27
ALLSKY_SFC_LW_DWN,2022,31.9,32.56,32.51,33.42,32.98,32.95,32.91,32.53,33.11,33.09,33.04,32.59,32.8
ALLSKY_SFC_LW_DWN,2023,32.45,32.87,33.71,33.32,33.15,32.73,33.16,33.11,33.52,33.66,33.53,33.61,33.24
ALLSKY_SFC_LW_DWN,2024,32.78,34.25,34.67,34.04,33.94,33.44,33.04,33.09,33.66,33.33,33.5,33.62,33.61
T2M,2020,20.44,21.0,20.6,21.02,21.71,20.29,20.18,20.53,20.62,21.31,20.2,20.81,20.73
T2M,2021,20.59,21.03,20.14,20.92,21.51,20.51,21.52,21.83,21.84,21.34,20.67,20.98,21.07
T2M,2022,20.87,20.62,20.03,20.17,20.25,19.41,19.98,19.91,20.03,19.39,18.91,18.91,19.87
T2M,2023,18.61,20.02,19.65,20.03,21.0,20.65,21.12,21.38,22.07,20.84,20.61,21.25,20.6
T2M,2024,22.48,22.49,23.44,22.28,21.1,20.61,20.63,20.99,21.82,20.77,19.38,20.1,21.34
T2MDEW,2020,15.66,15.33,16.38,16.84,16.28,15.72,15.33,15.51,15.43,14.62,15.92,14.94,15.66
T2MDEW,2021,14.69,15.46,15.67,16.08,15.25,15.06,13.91,13.98,14.26,15.7,15.72,16.1,15.15
T2MDEW,2022,14.89,15.47,16.35,16.47,16.44,15.96,15.71,15.29,15.79,16.23,16.66,15.79,15.92
T2MDEW,2023,15.33,15.58,16.59,16.76,16.92,15.55,15.48,14.87,15.4,16.56,16.63,16.49,16.02
T2MDEW,2024,14.26,16.28,16.29,16.62,17.72,16.85,16.23,15.41,15.42,16.23,16.76,16.95,16.25
T2MWET,2020,18.05,18.16,18.49,18.93,19.0,18.0,17.76,18.02,18.03,17.97,18.06,17.87,18.19
T2MWET,2021,17.64,18.24,17.91,18.5,18.38,17.78,17.71,17.91,18.05,18.52,18.19,18.54,18.11
T2MWET,2022,17.88,18.05,18.19,18.32,18.34,17.68,17.85,17.6,17.91,17.81,17.78,17.35,17.9
T2MWET,2023,16.97,17.8,18.12,18.4,18.96,18.1,18.31,18.13,18.74,18.7,18.62,18.87,18.31
T2MWET,2024,18.37,19.39,19.86,19.45,19.41,18.73,18.43,18.2,18.62,18.5,18.07,18.52,18.79
T2M_MAX,2020,29.95,30.53,29.01,28.49,29.43,26.81,26.68,28.81,29.04,29.55,28.23,29.64,30.53
T2M_MAX,2021,29.82,30.26,28.11,28.69,30.34,28.89,29.94,31.23,30.73,31.25,29.75,30.25,31.25
T2M_MAX,2022,31.6,29.92,27.85,27.57,27.66,25.33,26.17,26.55,27.11,26.94,25.64,25.64,31.6
T2M_MAX,2023,25.94,27.12,27.87,27.54,28.47,27.94,28.45,29.85,30.6,29.03,28.07,29.91,30.6
T2M_MAX,2024,31.57,31.32,32.92,32.39,27.76,26.98,27.11,28.78,30.51,29.48,26.87,27.21,32.92
T2M_MIN,2020,12.11,12.52,12.61,15.54,15.35,13.55,13.23,13.14,13.69,14.62,15.51,13.94,12.11
T2M_MIN,2021,13.46,15.58,15.81,15.17,14.76,13.04,13.58,14.52,14.27,15.8,15.42,15.58,13.04
T2M_MIN,2022,14.86,14.82,14.84,14.53,14.69,13.73,13.88,13.61,14.03,13.78,14.27,13.28,13.28
T2M_MIN,2023,10.99,12.81,14.87,14.96,15.13,14.04,14.12,13.42,14.32,14.16,15.06,15.5,10.99
T2M_MIN,2024,14.22,16.17,16.72,16.21,16.02,14.04,13.53,13.12,14.56,14.08,14.23,15.4,13.12
T2M_RANGE,2020,10.5,11.11,9.61,8.98,10.28,9.82,10.08,10.45,10.31,11.31,8.39,9.78,10.05
T2M_RANGE,2021,10.84,10.09,8.57,9.24,10.42,10.03,12.06,12.13,12.43,10.42,9.32,9.58,10.43
T2M_RANGE,2022,10.81,9.36,8.58,8.8,8.98,8.64,9.67,9.91,9.75,8.33,7.2,8.65,9.06
T2M_RANGE,2023,8.54,9.99,7.97,8.0,9.22,10.73,10.77,11.99,11.97,9.31,8.71,9.37,9.71
T2M_RANGE,2024,12.77,10.67,11.28,10.09,8.24,8.98,9.89,11.36,11.44,9.85,7.69,8.29,10.05
TS,2020,20.76,21.46,21.07,21.4,22.09,20.31,20.21,20.81,20.84,21.85,20.61,21.28,21.06
TS,2021,20.8,21.51,20.63,21.32,22.24,20.87,22.2,22.98,22.81,22.28,21.4,21.76,21.74
TS,2022,21.8,21.41,20.54,20.58,20.34,19.51,19.98,19.95,20.3,19.61,19.15,19.07,20.18
TS,2023,18.79,20.38,20.01,20.28,21.03,20.55,21.18,21.74,22.54,21.12,20.67,21.42,20.81
TS,2024,23.15,23.28,24.52,22.87,21.15,20.63,20.57,21.15,22.2,20.99,19.5,20.33,21.69
