-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.7594   Longitude -74.0904 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1563.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD2M            MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX        MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN        MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE      MERRA-2 Wind Speed at 2 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2020,84.57,84.56,84.59,84.62,84.62,84.63,84.59,84.59,84.57,84.51,84.52,84.48,84.57
PS,2021,84.45,84.45,84.49,84.5,84.6,84.65,84.64,84.63,84.61,84.55,84.51,84.48,84.55
PS,2022,84.52,84.48,84.51,84.51,84.62,84.62,84.62,84.62,84.6,84.58,84.55,84.51,84.56
PS,2023,84.59,84.52,84.57,84.53,84.59,84.62,84.62,84.6,84.54,84.56,84.5,84.49,84.56
PS,2024,84.56,84.57,84.55,84.55,84.58,84.64,84.64,84.67,84.56,84.58,84.53,84.51,84.58
WD10M,2020,42.6,68.8,21.3,28.8,114.1,116.9,132.3,129.1,124.0,120.5,347.9,25.9,73.0
WD10M,2021,70.5,41.8,20.1,149.3,139.3,141.7,145.8,153.6,152.6,359.9,8.8,11.5,92.7
WD10M,2022,21.0,21.5,6.9,35.0,146.0,150.8,125.1,143.3,112.4,7.3,344.0,22.4,41.3
WD10M,2023,19.1,53.9,3.0,277.2,145.7,145.1,129.9,127.9,125.2,70.3,70.7,46.1,104.9
WD10M,2024,78.4,39.5,35.2,53.4,150.3,130.3,156.3,126.1,128.6,82.8,17.2,14.7,85.1
