-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.2   Longitude -74.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2023.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETPROF     MERRA-2 Profile Soil Moisture (1) 
GWETROOT     MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP      MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETPROF,2020,0.76,0.68,0.68,0.7,0.73,0.79,0.8,0.77,0.75,0.69,0.68,0.67,0.73
GWETPROF,2021,0.71,0.69,0.71,0.77,0.76,0.79,0.77,0.73,0.71,0.69,0.69,0.66,0.72
GWETPROF,2022,0.61,0.6,0.7,0.78,0.87,0.88,0.87,0.88,0.82,0.85,0.89,0.86,0.8
GWETPROF,2023,0.85,0.78,0.8,0.86,0.89,0.89,0.86,0.81,0.76,0.77,0.83,0.79,0.82
GWETPROF,2024,0.75,0.67,0.6,0.64,0.81,0.89,0.87,0.79,0.69,0.69,0.75,0.77,0.74
GWETROOT,2020,0.74,0.66,0.67,0.69,0.72,0.79,0.79,0.76,0.74,0.67,0.67,0.66,0.71
GWETROOT,2021,0.71,0.68,0.7,0.76,0.75,0.78,0.75,0.71,0.7,0.68,0.68,0.65,0.71
GWETROOT,2022,0.6,0.59,0.7,0.78,0.86,0.87,0.86,0.86,0.81,0.84,0.87,0.83,0.79
GWETROOT,2023,0.83,0.76,0.78,0.84,0.87,0.87,0.84,0.79,0.75,0.76,0.82,0.78,0.81
GWETROOT,2024,0.73,0.65,0.59,0.63,0.81,0.88,0.85,0.76,0.66,0.68,0.75,0.76,0.73
GWETTOP,2020,0.74,0.69,0.7,0.72,0.74,0.79,0.79,0.76,0.74,0.69,0.69,0.68,0.73
GWETTOP,2021,0.72,0.7,0.72,0.77,0.75,0.78,0.75,0.72,0.72,0.7,0.7,0.67,0.73
GWETTOP,2022,0.63,0.64,0.73,0.78,0.85,0.85,0.84,0.84,0.8,0.83,0.85,0.82,0.79
GWETTOP,2023,0.82,0.77,0.79,0.83,0.85,0.85,0.83,0.79,0.76,0.77,0.81,0.78,0.8
GWETTOP,2024,0.73,0.67,0.62,0.68,0.82,0.86,0.83,0.76,0.69,0.71,0.76,0.76,0.74
