-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.2   Longitude -74.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2023.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,2020,31.45,31.78,32.74,32.62,32.56,31.87,31.94,32.02,32.2,32.19,32.21,32.08,32.14
ALLSKY_SFC_LW_DWN,2021,31.83,33.35,33.06,32.29,32.28,31.9,31.94,32.09,31.99,32.28,31.96,32.3,32.27
ALLSKY_SFC_LW_DWN,2022,31.9,32.56,32.51,33.42,32.98,32.95,32.91,32.53,33.11,33.09,33.04,32.59,32.8
ALLSKY_SFC_LW_DWN,2023,32.45,32.87,33.71,33.32,33.15,32.73,33.16,33.11,33.52,33.66,33.53,33.61,33.24
ALLSKY_SFC_LW_DWN,2024,32.78,34.25,34.67,34.04,33.94,33.44,33.04,33.09,33.66,33.33,33.5,33.62,33.61
T2M,2020,17.11,17.4,17.74,17.63,17.45,16.26,15.94,16.51,16.76,16.87,17.19,17.64,17.04
T2M,2021,16.72,17.62,16.82,17.09,17.0,16.18,16.05,16.58,16.47,17.55,17.44,17.81,16.94
T2M,2022,17.17,17.15,17.04,16.77,16.53,15.91,15.96,15.72,16.55,16.65,16.7,16.45,16.55
T2M,2023,15.89,16.71,16.88,16.86,17.22,16.15,16.46,16.67,17.4,17.51,17.32,17.69,16.9
T2M,2024,17.7,18.61,19.1,18.34,17.75,16.89,16.32,16.55,17.3,17.54,17.15,17.58,17.57
T2MDEW,2020,13.75,13.5,14.28,14.43,14.42,13.28,12.83,13.19,12.94,12.52,14.2,13.7,13.59
T2MDEW,2021,12.48,13.67,13.75,14.07,14.14,13.29,12.87,12.84,12.44,14.06,14.09,14.17,13.49
T2MDEW,2022,12.67,13.13,14.17,14.0,13.83,13.24,13.1,12.56,12.93,13.94,14.49,13.37,13.45
T2MDEW,2023,12.9,13.11,14.24,14.32,14.59,13.46,13.7,13.35,13.72,14.2,14.33,14.92,13.91
T2MDEW,2024,13.49,14.67,14.91,14.68,15.15,14.32,13.71,13.14,13.31,13.8,14.58,14.54,14.19
T2MWET,2020,15.43,15.45,16.01,16.03,15.94,14.77,14.39,14.85,14.85,14.7,15.69,15.67,15.31
T2MWET,2021,14.6,15.64,15.29,15.58,15.57,14.73,14.46,14.71,14.46,15.8,15.76,15.99,15.21
T2MWET,2022,14.92,15.14,15.6,15.39,15.18,14.58,14.53,14.14,14.74,15.3,15.6,14.91,15.0
T2MWET,2023,14.39,14.91,15.56,15.59,15.9,14.81,15.08,15.01,15.56,15.85,15.82,16.3,15.4
T2MWET,2024,15.6,16.64,17.0,16.51,16.45,15.6,15.01,14.85,15.31,15.67,15.87,16.06,15.88
T2M_MAX,2020,23.69,24.59,24.43,24.56,23.89,22.05,21.9,23.1,24.47,24.49,22.78,24.66,24.66
T2M_MAX,2021,24.09,24.38,23.88,23.23,22.64,22.58,22.01,23.6,23.31,24.56,23.32,23.82,24.56
T2M_MAX,2022,24.55,24.66,23.02,22.59,22.52,21.93,22.16,22.37,23.07,22.66,22.87,22.75,24.66
T2M_MAX,2023,22.7,23.28,23.31,22.67,23.37,21.72,22.18,23.26,24.54,24.2,23.74,23.86,24.54
T2M_MAX,2024,24.94,26.39,26.6,25.86,24.13,22.4,22.04,23.13,24.15,24.46,23.14,23.94,26.6
T2M_MIN,2020,8.62,8.65,10.3,12.15,11.85,10.4,10.04,10.39,10.58,10.07,12.22,10.95,8.62
T2M_MIN,2021,9.49,12.35,11.97,11.43,11.39,9.82,9.98,10.82,10.05,11.62,12.45,12.38,9.49
T2M_MIN,2022,10.72,10.43,11.92,12.34,11.11,10.82,10.53,9.61,10.37,10.33,12.06,10.38,9.61
T2M_MIN,2023,8.19,8.66,11.91,11.86,12.22,10.84,10.9,9.46,11.3,10.64,11.13,11.1,8.19
T2M_MIN,2024,10.13,13.33,12.95,12.01,13.02,11.16,10.82,9.76,9.65,11.61,10.64,12.35,9.65
T2M_RANGE,2020,9.32,9.81,8.51,8.42,8.28,8.4,8.67,8.76,9.5,9.71,6.9,8.46,8.73
T2M_RANGE,2021,9.97,8.66,7.29,7.7,7.57,8.24,8.64,9.24,9.87,8.51,7.74,8.41,8.49
T2M_RANGE,2022,9.4,8.64,7.59,8.08,8.12,8.02,8.56,8.84,9.34,8.01,6.92,8.37,8.32
T2M_RANGE,2023,8.17,9.58,7.12,7.2,7.87,8.26,8.04,9.3,9.92,8.84,8.03,7.87,8.34
T2M_RANGE,2024,10.57,9.16,8.78,8.57,7.43,7.85,7.98,9.18,9.77,9.05,7.23,7.92,8.62
TS,2020,17.41,17.79,18.17,18.01,17.84,16.51,16.14,16.78,17.12,17.27,17.4,17.99,17.37
TS,2021,16.95,18.08,17.24,17.47,17.32,16.45,16.34,17.01,16.95,18.02,17.79,18.26,17.32
TS,2022,17.74,17.72,17.42,17.15,16.79,16.17,16.19,15.96,16.85,16.97,17.01,16.76,16.89
TS,2023,16.17,17.14,17.25,17.11,17.4,16.33,16.6,16.94,17.78,17.79,17.45,17.81,17.15
TS,2024,17.98,19.13,19.7,18.86,17.96,17.07,16.54,16.87,17.68,17.84,17.28,17.79,17.89
