-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.2   Longitude -74.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2023.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD2M            MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX        MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN        MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE      MERRA-2 Wind Speed at 2 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2020,80.1,80.1,80.11,80.15,80.17,80.17,80.12,80.12,80.11,80.07,80.04,80.0,80.1
PS,2021,79.98,80.0,80.02,80.04,80.14,80.18,80.19,80.17,80.16,80.08,80.03,80.0,80.08
PS,2022,80.05,80.01,80.02,80.04,80.15,80.13,80.15,80.14,80.12,80.09,80.05,80.01,80.08
PS,2023,80.08,80.05,80.08,80.06,80.14,80.18,80.18,80.17,80.11,80.1,80.04,80.04,80.1
PS,2024,80.12,80.12,80.12,80.1,80.13,80.17,80.19,80.22,80.12,80.12,80.04,80.03,80.12
WD10M,2020,83.6,89.8,79.8,113.4,116.2,112.9,118.4,121.1,120.1,115.0,84.1,78.2,107.1
WD10M,2021,92.3,83.0,90.7,116.3,118.6,118.3,122.0,125.1,121.7,113.0,71.0,72.1,108.9
WD10M,2022,78.4,88.0,87.9,117.3,120.5,120.2,114.8,122.6,122.8,105.2,89.0,78.1,108.1
WD10M,2023,83.2,97.5,95.8,122.9,123.5,124.3,118.6,118.0,116.0,115.5,104.8,95.5,112.9
WD10M,2024,92.0,98.5,103.9,105.4,123.9,119.1,128.7,120.1,119.3,112.2,76.0,88.9,111.5
WD2M,2020,84.9,90.8,80.9,114.8,116.9,113.6,119.1,122.3,122.0,117.0,88.5,77.7,108.6
WD2M,2021,93.7,83.9,91.1,117.0,119.2,118.7,122.1,125.6,122.4,114.1,70.4,72.2,109.9
WD2M,2022,78.9,88.9,88.7,118.6,121.6,121.6,115.8,123.6,124.4,107.8,93.9,78.6,109.7
WD2M,2023,84.0,98.9,98.6,125.2,124.6,124.7,119.1,118.7,117.0,118.3,106.0,96.1,114.1
WD2M,2024,93.1,99.6,104.6,106.3,124.9,119.8,128.9,120.8,120.4,114.1,76.0,89.3,112.5
WS10M,2020,2.72,2.53,1.82,2.16,2.93,3.02,2.93,2.73,2.57,2.65,1.25,1.44,2.4
WS10M,2021,2.26,1.92,1.72,2.28,2.55,2.61,3.81,2.96,3.0,1.93,1.49,1.88,2.37
WS10M,2022,2.16,1.89,1.61,2.26,2.52,2.2,2.84,3.1,2.43,1.9,1.39,1.66,2.17
WS10M,2023,1.69,2.32,1.62,1.88,2.76,3.89,3.93,3.56,3.21,1.94,2.21,2.07,2.59
WS10M,2024,2.69,2.41,2.49,2.28,2.45,2.86,3.78,3.56,3.27,2.36,1.57,1.75,2.63
WS10M_MAX,2020,8.98,7.5,5.82,5.66,6.8,7.34,7.01,7.1,7.23,6.22,3.36,4.16,8.98
WS10M_MAX,2021,6.28,5.48,5.49,5.87,7.51,7.32,9.76,8.63,6.93,6.01,4.16,4.42,9.76
WS10M_MAX,2022,6.28,4.72,5.12,7.4,7.06,6.19,7.35,7.18,7.5,7.07,6.08,5.31,7.5
WS10M_MAX,2023,5.81,5.82,5.52,5.28,6.96,8.22,8.91,8.22,7.64,5.33,6.45,6.73,8.91
WS10M_MAX,2024,8.27,7.51,8.2,5.93,5.56,7.12,8.23,7.28,7.78,8.49,5.36,5.24,8.49
WS10M_MIN,2020,0.04,0.17,0.09,0.24,0.44,0.09,0.7,0.03,0.08,0.12,0.0,0.03,0.0
WS10M_MIN,2021,0.14,0.18,0.12,0.32,0.04,0.62,0.94,0.1,0.61,0.08,0.06,0.2,0.04
WS10M_MIN,2022,0.19,0.12,0.08,0.12,0.18,0.43,0.65,1.01,0.07,0.12,0.08,0.08,0.07
WS10M_MIN,2023,0.08,0.13,0.03,0.11,0.41,0.98,0.84,0.48,0.7,0.12,0.1,0.04,0.03
WS10M_MIN,2024,0.14,0.21,0.14,0.11,0.33,0.34,0.41,0.54,0.13,0.04,0.02,0.04,0.02
WS10M_RANGE,2020,2.62,2.59,2.38,2.23,2.77,2.9,2.84,2.96,2.74,2.79,1.79,1.85,2.54
WS10M_RANGE,2021,2.11,2.22,2.05,2.56,2.65,2.56,3.47,3.48,3.05,2.28,1.83,2.04,2.53
WS10M_RANGE,2022,2.2,1.98,2.0,2.57,2.76,2.21,2.68,3.09,2.82,2.14,1.94,2.31,2.4
WS10M_RANGE,2023,2.25,2.56,1.94,2.25,2.82,3.48,3.56,3.55,3.54,1.92,2.25,2.47,2.72
WS10M_RANGE,2024,2.46,2.53,2.83,2.28,2.41,3.01,3.73,3.61,3.72,2.8,2.04,2.12,2.8
WS2M,2020,1.75,1.63,1.16,1.42,1.93,1.98,1.92,1.8,1.68,1.73,0.79,0.9,1.56
WS2M,2021,1.42,1.23,1.12,1.52,1.69,1.71,2.53,1.97,1.98,1.26,0.95,1.19,1.55
WS2M,2022,1.39,1.21,1.03,1.5,1.66,1.43,1.86,2.04,1.6,1.23,0.9,1.04,1.41
WS2M,2023,1.06,1.5,1.05,1.24,1.81,2.55,2.58,2.34,2.11,1.24,1.42,1.31,1.68
WS2M,2024,1.71,1.57,1.66,1.5,1.61,1.87,2.51,2.35,2.16,1.53,0.99,1.11,1.72
WS2M_MAX,2020,6.31,5.31,4.22,4.11,4.89,5.13,4.89,5.1,5.15,4.42,2.44,2.91,6.31
WS2M_MAX,2021,4.45,4.04,4.03,4.22,5.35,5.15,6.73,6.06,4.97,4.24,2.97,3.23,6.73
WS2M_MAX,2022,4.52,3.39,3.79,5.34,5.01,4.4,5.21,5.07,5.27,5.01,4.3,3.81,5.34
WS2M_MAX,2023,4.16,4.23,3.87,3.87,4.83,5.75,6.21,5.82,5.43,3.81,4.49,4.79,6.21
WS2M_MAX,2024,5.83,5.42,5.95,4.36,3.94,5.01,5.75,5.21,5.48,6.02,3.83,3.74,6.02
WS2M_MIN,2020,0.04,0.1,0.02,0.16,0.25,0.07,0.39,0.01,0.03,0.06,0.01,0.04,0.01
WS2M_MIN,2021,0.1,0.11,0.04,0.17,0.05,0.29,0.44,0.07,0.25,0.06,0.04,0.09,0.04
WS2M_MIN,2022,0.09,0.08,0.09,0.08,0.07,0.19,0.36,0.52,0.07,0.03,0.05,0.04,0.03
WS2M_MIN,2023,0.06,0.13,0.01,0.04,0.29,0.46,0.58,0.24,0.34,0.03,0.08,0.03,0.01
WS2M_MIN,2024,0.09,0.16,0.07,0.09,0.22,0.24,0.34,0.23,0.11,0.1,0.03,0.06,0.03
WS2M_RANGE,2020,2.21,2.22,1.96,1.88,2.29,2.38,2.37,2.41,2.23,2.29,1.4,1.49,2.09
WS2M_RANGE,2021,1.81,1.8,1.63,2.09,2.1,2.11,2.82,2.76,2.52,1.82,1.49,1.73,2.06
WS2M_RANGE,2022,1.87,1.68,1.58,2.09,2.24,1.76,2.25,2.54,2.24,1.69,1.49,1.83,1.94
WS2M_RANGE,2023,1.78,2.17,1.57,1.81,2.27,2.85,2.85,2.93,2.91,1.59,1.81,1.97,2.21
WS2M_RANGE,2024,2.14,2.1,2.3,1.89,1.94,2.39,2.93,3.0,2.98,2.22,1.58,1.69,2.26
