-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.5907   Longitude -74.0963 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1790.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETPROF     MERRA-2 Profile Soil Moisture (1) 
GWETROOT     MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP      MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETPROF,2020,0.73,0.68,0.68,0.68,0.69,0.74,0.75,0.72,0.71,0.65,0.63,0.59,0.69
GWETPROF,2021,0.62,0.6,0.61,0.64,0.63,0.63,0.63,0.59,0.57,0.56,0.56,0.54,0.6
GWETPROF,2022,0.51,0.51,0.58,0.65,0.74,0.79,0.79,0.8,0.76,0.78,0.83,0.81,0.71
GWETPROF,2023,0.8,0.76,0.76,0.8,0.82,0.82,0.8,0.75,0.71,0.72,0.75,0.72,0.77
GWETPROF,2024,0.68,0.61,0.56,0.58,0.71,0.79,0.8,0.73,0.65,0.65,0.7,0.7,0.68
GWETROOT,2020,0.66,0.62,0.63,0.63,0.64,0.72,0.71,0.67,0.66,0.59,0.59,0.54,0.64
GWETROOT,2021,0.58,0.56,0.57,0.61,0.57,0.6,0.57,0.54,0.54,0.52,0.53,0.5,0.56
GWETROOT,2022,0.48,0.49,0.57,0.62,0.71,0.75,0.74,0.75,0.7,0.74,0.78,0.74,0.67
GWETROOT,2023,0.74,0.69,0.71,0.74,0.76,0.76,0.74,0.69,0.65,0.68,0.71,0.66,0.71
GWETROOT,2024,0.61,0.56,0.51,0.56,0.7,0.75,0.74,0.66,0.59,0.61,0.67,0.65,0.63
GWETTOP,2020,0.67,0.64,0.65,0.66,0.65,0.73,0.71,0.68,0.67,0.6,0.61,0.57,0.65
GWETTOP,2021,0.61,0.58,0.6,0.64,0.59,0.64,0.59,0.56,0.56,0.55,0.55,0.53,0.58
GWETTOP,2022,0.5,0.53,0.61,0.66,0.73,0.75,0.74,0.75,0.71,0.74,0.77,0.74,0.69
GWETTOP,2023,0.75,0.7,0.72,0.75,0.76,0.76,0.74,0.7,0.66,0.7,0.72,0.68,0.72
GWETTOP,2024,0.61,0.58,0.53,0.61,0.72,0.75,0.74,0.67,0.61,0.64,0.69,0.67,0.65
