-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.732   Longitude -74.0516 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2099.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
IMERG_PRECTOT       MERRA-2 Total Precipitation (mm/day) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
IMERG_PRECTOT,2020,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2021,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2022,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2023,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2024,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PRECTOTCORR,2020,0.77,3.26,4.32,7.89,9.03,15.13,11.14,5.61,6.8,1.58,1.65,3.32,5.87
PRECTOTCORR,2021,3.31,3.93,4.25,5.92,0.47,5.12,1.4,1.54,4.09,3.79,2.72,1.14,3.12
PRECTOTCORR,2022,1.39,4.25,7.17,11.22,17.83,10.26,12.99,8.65,6.99,9.11,6.67,3.39,8.36
PRECTOTCORR,2023,7.93,1.75,5.31,10.47,12.93,10.72,9.27,7.02,7.46,9.19,8.01,7.57,8.18
PRECTOTCORR,2024,0.22,2.26,3.67,7.46,16.96,9.98,6.16,3.46,3.16,8.42,8.59,6.79,6.44
PRECTOTCORR_SUM,2020,23.85,94.47,134.02,236.79,279.92,453.98,345.25,173.83,203.96,48.85,49.49,102.87,2147.28
PRECTOTCORR_SUM,2021,102.63,109.91,131.74,177.6,14.6,153.74,43.3,47.87,122.78,117.64,81.74,35.43,1138.98
PRECTOTCORR_SUM,2022,42.98,119.11,222.26,336.71,552.79,307.67,402.73,268.08,209.76,282.35,200.15,105.12,3049.71
PRECTOTCORR_SUM,2023,245.83,49.1,164.48,314.03,400.9,321.68,287.48,217.72,223.91,284.84,240.27,234.64,2984.88
PRECTOTCORR_SUM,2024,6.68,65.42,113.87,223.74,525.84,299.25,191.05,107.26,94.74,260.94,257.74,210.39,2356.92
QV2M,2020,12.02,11.71,12.08,12.76,12.65,11.85,11.57,11.88,11.74,11.45,12.73,12.19,12.05
QV2M,2021,11.24,12.03,12.01,12.45,12.44,11.71,11.54,11.43,11.23,12.49,12.37,12.19,11.93
QV2M,2022,10.9,11.41,12.48,12.34,12.27,11.77,11.58,11.38,11.65,12.39,12.86,11.84,11.91
QV2M,2023,11.5,11.39,12.36,12.74,12.82,11.79,12.12,11.75,12.24,12.38,12.81,13.28,12.27
QV2M,2024,11.87,12.78,13.24,12.92,13.3,12.51,12.13,11.73,12.0,12.49,12.95,12.99,12.57
RH2M,2020,85.49,81.7,83.03,87.97,89.96,90.02,89.64,88.33,86.09,83.27,86.83,84.4,86.41
RH2M,2021,84.07,84.82,86.23,88.44,87.69,87.39,86.93,83.31,82.05,86.03,86.12,82.75,85.49
RH2M,2022,76.89,80.86,88.08,88.48,90.5,90.3,89.88,88.76,86.38,88.35,90.9,88.61,87.37
RH2M,2023,88.77,85.55,88.16,90.19,90.13,89.78,90.69,87.26,86.47,86.21,89.21,90.89,88.63
RH2M,2024,84.17,84.49,85.44,86.73,90.81,90.88,90.85,86.94,84.21,86.6,89.95,90.07,87.61
