-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.732   Longitude -74.0516 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2099.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,2020,31.45,31.78,32.74,32.62,32.56,31.87,31.94,32.02,32.2,32.19,32.21,32.08,32.14
ALLSKY_SFC_LW_DWN,2021,31.83,33.35,33.06,32.29,32.28,31.9,31.94,32.09,31.99,32.28,31.96,32.3,32.27
ALLSKY_SFC_LW_DWN,2022,31.9,32.56,32.51,33.42,32.98,32.95,32.91,32.53,33.11,33.09,33.04,32.59,32.8
ALLSKY_SFC_LW_DWN,2023,32.45,32.87,33.71,33.32,33.15,32.73,33.16,33.11,33.52,33.66,33.53,33.61,33.24
ALLSKY_SFC_LW_DWN,2024,32.78,34.25,34.67,34.04,33.94,33.44,33.04,33.09,33.66,33.33,33.5,33.62,33.61
T2M,2020,15.86,16.22,16.44,16.3,15.79,14.73,14.44,15.09,15.34,15.49,16.49,16.39,15.71
T2M,2021,15.19,16.06,15.73,15.82,15.97,15.11,14.98,15.62,15.64,16.44,16.21,16.71,15.79
T2M,2022,16.28,16.09,15.94,15.66,15.2,14.58,14.4,14.35,15.17,15.73,15.84,14.98,15.35
T2M,2023,14.51,15.01,15.75,15.83,15.93,14.7,14.99,15.13,15.93,16.11,16.06,16.32,15.53
T2M,2024,15.96,17.08,17.45,16.77,16.39,15.44,14.97,15.19,16.11,16.23,16.09,16.15,16.15
T2MDEW,2020,13.08,12.65,13.19,14.0,13.88,12.85,12.49,12.87,12.66,12.28,13.94,13.3,13.1
T2MDEW,2021,12.04,13.11,13.09,13.62,13.66,12.7,12.52,12.35,12.07,13.67,13.53,13.36,12.98
T2MDEW,2022,11.65,12.32,13.65,13.46,13.38,12.74,12.49,12.22,12.54,13.5,14.1,12.8,12.91
T2MDEW,2023,12.35,12.26,13.54,13.96,14.05,12.79,13.22,12.67,13.3,13.45,13.95,14.59,13.35
T2MDEW,2024,12.87,14.05,14.57,14.18,14.63,13.7,13.26,12.7,13.03,13.58,14.17,14.25,13.75
T2MWET,2020,14.47,14.44,14.82,15.15,14.83,13.79,13.46,13.98,14.0,13.89,15.21,14.84,14.41
T2MWET,2021,13.61,14.59,14.41,14.72,14.82,13.91,13.75,13.99,13.85,15.06,14.87,15.04,14.38
T2MWET,2022,13.96,14.2,14.8,14.56,14.29,13.66,13.45,13.28,13.86,14.61,14.97,13.89,14.13
T2MWET,2023,13.43,13.63,14.65,14.9,14.99,13.75,14.11,13.9,14.62,14.78,15.0,15.45,14.44
T2MWET,2024,14.41,15.57,16.01,15.47,15.51,14.56,14.11,13.95,14.57,14.9,15.13,15.2,14.95
T2M_MAX,2020,22.17,22.77,23.43,22.05,21.4,19.81,19.69,20.74,21.58,23.53,22.78,22.65,23.53
T2M_MAX,2021,22.64,22.24,21.98,21.19,21.9,21.49,20.72,22.38,22.55,23.46,22.02,23.07,23.46
T2M_MAX,2022,24.48,23.72,22.26,21.18,20.56,20.16,19.69,19.9,21.21,21.45,21.22,21.14,24.48
T2M_MAX,2023,20.83,21.52,21.46,20.9,22.13,19.88,20.53,21.11,22.54,22.53,21.97,21.66,22.54
T2M_MAX,2024,23.63,24.63,23.75,22.59,22.33,20.46,20.51,21.18,22.4,22.83,21.9,21.92,24.63
T2M_MIN,2020,8.87,8.77,9.4,11.42,10.76,9.48,9.62,9.41,9.83,9.49,11.7,10.28,8.77
T2M_MIN,2021,8.79,11.26,10.21,10.91,10.53,8.96,9.34,9.65,9.39,11.22,11.32,11.78,8.79
T2M_MIN,2022,10.75,10.93,11.75,10.59,10.57,9.56,9.78,8.92,10.41,9.91,11.64,8.21,8.21
T2M_MIN,2023,7.28,7.78,11.98,10.8,10.98,9.87,10.44,9.08,10.8,10.15,11.27,10.84,7.28
T2M_MIN,2024,9.58,11.78,11.01,10.98,12.23,10.39,9.17,9.54,10.92,10.49,9.72,10.66,9.17
T2M_RANGE,2020,8.22,8.99,8.26,7.48,7.11,7.22,7.09,7.44,8.2,8.44,7.08,8.38,7.82
T2M_RANGE,2021,9.31,8.48,7.49,7.3,7.17,7.83,7.76,8.89,9.26,8.36,7.53,8.45,8.15
T2M_RANGE,2022,9.48,8.44,7.12,7.31,6.97,7.19,7.41,7.95,8.23,7.31,6.46,7.91,7.65
T2M_RANGE,2023,7.52,8.84,6.8,6.44,7.06,7.33,6.96,8.38,8.42,8.08,6.88,6.81,7.45
T2M_RANGE,2024,9.39,8.7,8.16,7.94,6.86,6.98,6.95,8.11,8.57,8.07,6.66,7.04,7.78
TS,2020,16.1,16.54,16.83,16.61,16.05,14.98,14.57,15.22,15.46,15.51,16.63,16.69,15.93
TS,2021,15.43,16.43,16.19,16.25,16.41,15.45,15.41,16.16,16.19,16.91,16.61,17.3,16.23
TS,2022,16.99,16.71,16.38,15.98,15.49,14.87,14.62,14.62,15.34,15.93,16.07,15.31,15.69
TS,2023,14.8,15.51,16.06,16.06,16.16,14.9,15.27,15.29,16.12,16.11,16.18,16.48,15.75
TS,2024,16.21,17.47,17.86,17.16,16.63,15.65,15.23,15.45,16.35,16.42,16.12,16.42,16.41
