-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.732   Longitude -74.0516 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2099.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD2M            MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX        MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN        MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE      MERRA-2 Wind Speed at 2 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2020,79.58,79.59,79.57,79.63,79.69,79.69,79.64,79.62,79.6,79.54,79.47,79.47,79.59
PS,2021,79.49,79.47,79.48,79.53,79.63,79.68,79.73,79.67,79.66,79.55,79.49,79.47,79.57
PS,2022,79.5,79.47,79.49,79.51,79.65,79.62,79.67,79.66,79.61,79.54,79.48,79.47,79.56
PS,2023,79.55,79.54,79.54,79.51,79.64,79.72,79.73,79.69,79.62,79.56,79.52,79.52,79.6
PS,2024,79.64,79.6,79.6,79.6,79.63,79.69,79.73,79.74,79.63,79.6,79.49,79.5,79.62
WD10M,2020,88.9,90.4,89.8,107.4,105.6,103.4,103.5,108.8,111.8,107.1,125.9,98.5,102.0
WD10M,2021,89.9,93.0,100.3,107.5,107.5,105.7,109.1,114.5,110.8,114.3,96.0,91.7,104.1
WD10M,2022,90.3,93.5,97.6,107.8,106.1,106.8,101.0,107.6,115.7,108.2,117.0,94.1,103.3
WD10M,2023,92.1,90.3,101.7,110.6,109.0,107.4,104.9,104.8,104.9,112.4,102.7,100.0,103.2
WD10M,2024,82.9,97.2,98.8,98.2,109.6,106.1,114.0,108.8,112.3,107.8,102.5,101.6,103.6
WD2M,2020,94.1,95.5,95.2,108.8,107.3,105.7,105.6,110.5,114.0,110.1,128.7,100.9,105.1
WD2M,2021,94.7,98.2,104.3,108.5,107.8,105.8,109.2,114.1,110.8,114.4,98.3,96.3,105.8
WD2M,2022,95.5,99.1,100.9,108.8,107.4,108.4,103.7,109.8,117.6,110.4,119.0,98.6,106.1
WD2M,2023,96.2,95.4,104.5,111.5,110.4,108.8,107.1,107.4,107.4,116.0,105.6,102.5,105.9
WD2M,2024,89.4,100.6,100.4,101.2,111.1,108.1,114.5,110.6,113.9,110.0,105.7,104.8,106.3
WS10M,2020,2.23,2.39,1.97,1.96,2.22,2.29,2.15,1.96,1.8,1.7,1.23,1.78,1.97
WS10M,2021,2.12,1.84,1.79,2.21,2.34,2.38,2.91,2.41,2.31,2.0,1.87,2.07,2.19
WS10M,2022,1.98,2.08,1.9,1.88,2.1,1.97,2.18,2.18,1.93,1.59,1.37,1.77,1.91
WS10M,2023,1.87,2.35,1.76,1.74,2.16,2.56,2.76,2.28,2.21,1.51,1.88,1.87,2.08
WS10M,2024,2.35,2.17,2.12,2.17,2.19,2.26,2.55,2.32,2.31,1.99,1.56,1.86,2.15
WS10M_MAX,2020,6.77,6.04,5.9,5.39,5.35,5.92,5.17,5.1,5.18,4.98,4.2,4.51,6.77
WS10M_MAX,2021,5.6,5.26,5.61,5.11,6.44,6.41,7.54,6.23,5.85,5.91,4.63,5.03,7.54
WS10M_MAX,2022,5.49,4.87,5.26,6.21,5.32,4.63,5.73,6.34,6.28,4.93,4.21,4.89,6.34
