-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  4.5329   Longitude -74.1145 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1790.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface Total PAR (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_PAR_TOT,2020,8.89,9.07,7.76,7.91,7.73,7.96,7.92,7.89,8.79,8.28,7.67,8.24,8.17
ALLSKY_SFC_PAR_TOT,2021,8.59,7.81,7.16,7.97,8.43,8.12,8.05,8.04,8.66,8.46,8.54,7.99,8.15
ALLSKY_SFC_PAR_TOT,2022,8.32,7.47,7.74,7.55,7.9,7.34,7.7,8.32,8.27,8.46,7.72,8.57,7.95
ALLSKY_SFC_PAR_TOT,2023,7.99,8.71,7.14,7.39,8.29,8.36,8.12,8.56,8.69,8.41,7.88,7.7,8.1
ALLSKY_SFC_PAR_TOT,2024,9.4,8.34,7.67,8.06,7.52,7.77,8.23,8.49,8.38,9.06,7.48,7.58,8.17
ALLSKY_SFC_SW_DIFF,2020,7.59,8.0,8.35,8.64,8.87,8.75,8.57,8.11,8.64,8.64,8.51,8.02,8.39
ALLSKY_SFC_SW_DIFF,2021,7.93,8.46,8.34,8.89,8.82,8.61,8.53,8.84,8.6,8.66,7.94,8.02,8.47
ALLSKY_SFC_SW_DIFF,2022,8.2,8.15,8.3,8.61,8.48,8.09,8.0,8.18,8.86,8.76,8.07,7.9,8.3
ALLSKY_SFC_SW_DIFF,2023,7.65,8.21,7.84,8.79,8.96,8.72,8.44,8.5,8.48,8.88,8.32,7.65,8.37
ALLSKY_SFC_SW_DIFF,2024,7.26,8.06,8.48,8.52,8.04,8.53,8.52,8.18,8.56,8.86,7.86,7.31,8.18
ALLSKY_SFC_SW_DNI,2020,15.18,13.87,7.72,7.69,6.34,7.69,7.89,8.93,11.16,9.97,8.18,12.64,9.76
ALLSKY_SFC_SW_DNI,2021,13.75,8.99,5.83,7.22,8.36,8.49,8.86,7.9,10.36,9.85,12.14,11.07,9.4
ALLSKY_SFC_SW_DNI,2022,11.89,7.41,7.42,6.2,7.79,6.77,8.63,10.07,8.38,8.71,8.83,13.25,8.8
ALLSKY_SFC_SW_DNI,2023,11.41,12.21,6.18,5.49,8.12,9.37,8.88,10.61,11.42,8.82,9.26,10.55,9.34
ALLSKY_SFC_SW_DNI,2024,17.82,11.15,7.31,7.69,7.05,7.36,9.39,10.95,9.75,11.14,8.58,11.02,9.94
ALLSKY_SFC_SW_DWN,2020,18.92,19.35,16.7,16.62,15.69,16.38,16.31,16.61,18.56,17.48,16.16,17.48,17.18
ALLSKY_SFC_SW_DWN,2021,18.36,16.48,14.88,16.59,17.28,16.74,16.75,16.76,17.97,17.65,17.76,16.65,16.99
ALLSKY_SFC_SW_DWN,2022,17.56,15.44,16.11,15.56,16.06,14.98,15.89,17.43,17.06,17.23,15.83,17.96,16.44
ALLSKY_SFC_SW_DWN,2023,16.91,18.54,14.8,15.3,17.05,17.28,16.65,18.1,18.28,17.62,16.36,16.01,16.9
ALLSKY_SFC_SW_DWN,2024,20.35,17.62,16.33,16.77,15.32,15.89,17.08,18.0,17.85,18.86,15.36,15.82,17.11
ALLSKY_SFC_UVA,2020,1.29,1.29,1.06,1.13,1.23,1.23,1.22,1.14,1.25,1.18,1.12,1.21,1.2
ALLSKY_SFC_UVA,2021,1.25,1.14,1.04,1.16,1.33,1.28,1.24,1.2,1.32,1.24,1.32,1.19,1.23
ALLSKY_SFC_UVA,2022,1.26,1.13,1.12,1.11,1.25,1.14,1.17,1.22,1.22,1.37,1.2,1.3,1.21
ALLSKY_SFC_UVA,2023,1.19,1.23,1.01,1.04,1.23,1.28,1.25,1.23,1.23,1.19,1.16,1.13,1.18
ALLSKY_SFC_UVA,2024,1.32,1.17,1.03,1.16,1.14,1.21,1.23,1.19,1.17,1.37,1.12,1.09,1.18
ALLSKY_SFC_UVB,2020,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04
ALLSKY_SFC_UVB,2021,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
