config_id,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective,eval_metric,random_state,RMSE_promedio,MAE_promedio,R2_promedio,RMSE_desv,MAE_desv,seleccionado
28,100,0.05,4,1,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.0842608774829507,1.4199810560294537,-0.0007802855931776284,0.26752146326953,0.14958596915831196,True
12,100,0.03,4,1,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.085247412976123,1.4158271944176548,-0.0020464673731102057,0.26206986750620254,0.1410635206879115,False
60,200,0.05,4,1,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.086249470841163,1.4195268578146365,-0.002673339578837197,0.2683479964049488,0.1586299098046209,False
44,200,0.03,4,1,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.0874370575933043,1.4207182368569946,-0.003794058854319012,0.26978794205608386,0.15429475447966132,False
20,100,0.05,3,1,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.093931362350823,1.396020230574701,-0.009775368847634783,0.2906396307205734,0.11486762739936048,False
4,100,0.03,3,1,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.0953947359934073,1.3931870674621465,-0.011469941622116528,0.2852094311612008,0.10779066919892384,False
32,100,0.05,4,3,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.0974401853231335,1.4335096034642172,-0.012967934752114293,0.28779068963448734,0.15841827356632115,False
52,200,0.05,3,1,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.097611094957012,1.3943581286322493,-0.013243279576705532,0.2961715660696064,0.12381368622830478,False
64,200,0.05,4,3,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.097964849979278,1.4324250190338679,-0.013340122622570191,0.2905584709298172,0.17070229629522493,False
16,100,0.03,4,3,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.0981093520179686,1.4314324321665428,-0.013963647126192136,0.2812171797737729,0.14402469565023268,False
9,100,0.03,4,1,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.0982272246407305,1.3762060653622334,-0.014398635040866248,0.2794833031900749,0.10545836249872062,False
10,100,0.03,4,1,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.098987658912165,1.3795056872987825,-0.015020381140607109,0.2837527789434607,0.0929835292960081,False
2,100,0.03,3,1,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1003295143825578,1.380281127160196,-0.016210866721414585,0.28757613182649144,0.09513575726366048,False
29,100,0.05,4,3,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1003903062160405,1.381975089190699,-0.01593453227149681,0.2983630422490819,0.10625246799287652,False
21,100,0.05,3,3,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.100478779628999,1.3888534851449155,-0.016075005945824894,0.2969098403439042,0.11232557509456038,False
1,100,0.03,3,1,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1007681373579623,1.3773525118224572,-0.01663295015065473,0.28719487987220843,0.10592429288375137,False
24,100,0.05,3,3,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1009918394040206,1.4082084797210872,-0.016346957840385496,0.30287824672428976,0.12949193880253673,False
15,100,0.03,4,3,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.101117634536885,1.4248967258172744,-0.01724942007832586,0.2757538176502195,0.14650666610696667,False
53,200,0.05,3,3,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1013871308651537,1.3808077022739116,-0.017552803238013153,0.27545113473654936,0.1201644646307477,False
11,100,0.03,4,1,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1015184394239435,1.4293574045109168,-0.017187681170861186,0.28592595416147754,0.14838437058536383,False
61,200,0.05,4,3,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1016719531345296,1.3704773017530438,-0.017636952013779867,0.283447159311898,0.10899410436759614,False
8,100,0.03,3,3,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.10229781959204,1.4046735649944055,-0.017952258251776192,0.29659280121872156,0.11592587186487253,False
42,200,0.03,4,1,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1024131592186834,1.3740937987842592,-0.018166665176146846,0.28832274397283536,0.0985126708766775,False
56,200,0.05,3,3,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1024788038768407,1.4036104288922555,-0.01768069881262546,0.307779750773084,0.13808182511080144,False
13,100,0.03,4,3,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.10262053641066,1.3790601204182262,-0.018418951136948875,0.2875075450792873,0.10639103736286479,False
36,200,0.03,3,1,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1027714610789316,1.3985012384594668,-0.018235817670879746,0.3002374504445936,0.12280223029599446,False
26,100,0.05,4,1,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1030205460571296,1.3913185654569828,-0.018025037322039122,0.3093175232529272,0.10142600120782033,False
14,100,0.03,4,3,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1030350784585896,1.387595985507268,-0.018696148401345442,0.2943032392366185,0.09936842804884115,False
48,200,0.03,4,3,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1030732481143413,1.435957976620493,-0.018354090599630595,0.2913035936159153,0.16907471127844512,False
50,200,0.05,3,1,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.103979863214352,1.3940367540257788,-0.01908804324018006,0.30685995840119823,0.1177252048284862,False
34,200,0.03,3,1,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.104229750479302,1.380698691221142,-0.01972630998625517,0.2968900458788492,0.10571563599763369,False
6,100,0.03,3,3,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.104244821057831,1.385688649476858,-0.01988871016540857,0.2929375535236612,0.09931895435872015,False
31,100,0.05,4,3,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.104247968573514,1.4289050216929275,-0.019822986744588156,0.2864868817569975,0.15832243252316028,False
5,100,0.03,3,3,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1044674965688963,1.3800095917407484,-0.020308990017697703,0.2887694118649881,0.10888592951157892,False
47,200,0.03,4,3,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.104475619118713,1.4275258036621385,-0.020190351828750952,0.28315064757868347,0.16063505490036745,False
63,200,0.05,4,3,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1047326897951595,1.4295925176997646,-0.020210219953894343,0.2883170930533028,0.16247317795012467,False
18,100,0.05,3,1,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.105141431420108,1.399451530913903,-0.02003783127522511,0.31690241946917214,0.1065204333581498,False
49,200,0.05,3,1,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1055630540448447,1.3864513144167443,-0.021894474982008732,0.27343725802739516,0.12298544537444389,False
43,200,0.03,4,1,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.10568894413459,1.4325500358869334,-0.021070266108693853,0.2912281307633719,0.16162958300499278,False
17,100,0.05,3,1,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1076292982093854,1.3906321853279826,-0.023597830652611746,0.2888189306313891,0.11817375285881639,False
22,100,0.05,3,3,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1077017173954258,1.405728771145631,-0.022465797519808078,0.32045155938215547,0.11100244221265533,False
27,100,0.05,4,1,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.107763577720151,1.4332285466379593,-0.022860964010346246,0.29870946937055864,0.15871925920363103,False
30,100,0.05,4,3,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.107810757359866,1.4024870556634106,-0.022559406738164218,0.3188745019691134,0.1100023365382646,False
7,100,0.03,3,3,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.108130889460045,1.3946745740421018,-0.0245663711215592,0.2779225020409615,0.12987860361501166,False
23,100,0.05,3,3,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1081599304676484,1.3980864560299484,-0.024264912649072972,0.28209461005465225,0.14272967652500648,False
46,200,0.03,4,3,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1082711485905654,1.3832843526903549,-0.023804115664712782,0.29662558254185367,0.11104851417189986,False
41,200,0.03,4,1,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1082883689764507,1.376822624227939,-0.02454746211059718,0.2783042217278215,0.1194831198942877,False
37,200,0.03,3,3,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1083556547640225,1.3776430426792468,-0.024707646538203898,0.27730852204356254,0.12046160721157133,False
40,200,0.03,3,3,1.0,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1085150381208524,1.4054900534097607,-0.02371746518971063,0.3104414323829706,0.13375533230126804,False
45,200,0.03,4,3,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1093401882368252,1.3767296185812539,-0.025364143262147126,0.2822817287249796,0.11787982992642161,False
59,200,0.05,4,1,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.109448430393476,1.4333135256098875,-0.024533096751908328,0.29856311159809945,0.16292835678826886,False
58,200,0.05,4,1,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1094961337437987,1.3911697643053698,-0.024338704438193377,0.30973127151217034,0.11385726489809511,False
55,200,0.05,3,3,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1096013033614156,1.39846849269455,-0.025575082592147136,0.28566290371397024,0.14715903663090366,False
33,200,0.03,3,1,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1097806209215224,1.3765298587169432,-0.025927196454425427,0.2813257103227669,0.11949976988229143,False
25,100,0.05,4,1,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.110254534178704,1.388818924741743,-0.025886078409433244,0.29859785556377394,0.12252137224203591,False
38,200,0.03,3,3,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.110361269679667,1.3868692915121212,-0.025780640930253267,0.30023784172396584,0.11538238810883168,False
3,100,0.03,3,1,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1115259585748567,1.3918454970125975,-0.02773541425284176,0.28363387624455705,0.12540093859671472,False
54,200,0.05,3,3,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.1116628929849477,1.4037127416143083,-0.026450081374358485,0.31333191440260205,0.12504213532522315,False
62,200,0.05,4,3,0.8,0.8,0.0,5.0,reg:squarederror,rmse,42,2.11395651457249,1.404662581308927,-0.028675264072099044,0.3141405789487744,0.12513253482677053,False
19,100,0.05,3,1,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.1140107460194457,1.3972333427632098,-0.02968646341712385,0.29610862608274274,0.1339025116402665,False
57,200,0.05,4,1,0.8,0.8,0.0,1.0,reg:squarederror,rmse,42,2.11457776909953,1.3880466666846674,-0.03051083990754222,0.28626908566717507,0.13032582012028754,False
39,200,0.03,3,3,1.0,0.8,0.0,1.0,reg:squarederror,rmse,42,2.115306649951616,1.3998695700096961,-0.03130273765843383,0.2899092945188804,0.14676870840914158,False
