variable,aumento_MAE_promedio,aumento_MAE_desv,ranking
PS,0.06000673501177741,0.030420435342419654,1
QV2M,0.011207370701861138,0.004174119927731844,2
T2M,0.0032777603701363177,0.011363113737837004,3
ALLSKY_SRF_ALB,0.002121816601669657,0.0011372644144148523,4
BIMESTRE_sin,0.0020505020191851075,0.0025178465573614493,5
ONI,0.002029970611713986,0.004375458718194453,6
PRECTOTCORR_SUM,0.0007521665584274843,0.0011370172827871604,7
TS,0.0007471706434997912,0.0012866406798332942,8
ALLSKY_SFC_LW_DWN,0.0007456213410138357,0.0005881627392652062,9
GWETTOP,0.0005830828906500699,0.00048484776450275044,10
BIMESTRE_cos,9.826386881161368e-05,0.00018624058898375118,11
año,0.0,0.0,12
T2M_MIN,-0.00013730958191265536,0.0012757213734555346,13
T2M_MAX,-0.00015724472135123513,0.0006884881325607649,14
WS2M,-0.0007086901636847924,0.000387572323366909,15
ALLSKY_SFC_SW_DWN,-0.0007826411933228898,0.0007218973158802284,16
WS10M,-0.0009515999353419587,0.0006336774170058986,17
GWETROOT,-0.0012796181684348485,0.0006217473778632143,18
GWETPROF,-0.0020902128910671963,0.0009357127079008385,19
PRECTOTCORR,-0.002121992405210619,0.010004725398049951,20
RH2M,-0.0030751210738970544,0.0022775674257744824,21
CLOUD_AMT,-0.0052343699268589065,0.003784446208033061,22
