variable,perdida_mae_media,perdida_mae_std,perdida_r2_media,perdida_r2_std,ranking_permutacion_mae
latitud,1.197579428869224,0.09876603782361218,0.919846683752929,0.1345257950945014,1
longitud,0.8064698264202882,0.07372513647676131,0.4669836116092047,0.05805780974172054,2
RH2M,0.06172631476865856,0.018319328646804744,0.01693246991419413,0.014235724018654194,3
BIMESTRE_sin,0.0603300196657029,0.022061698268548716,0.024057975395407605,0.03051371546416959,4
PS,0.05226240055126164,0.028622611183926783,0.010406198921582836,0.020471949218409464,5
año,0.04151735928767157,0.02089600242244716,-0.011583474701769288,0.021171465349563677,6
PRECTOTCORR,0.031412726110503726,0.013664987553245838,0.024736112235546344,0.014051291042059459,7
T2M,0.028060126573386197,0.01366775196356699,-0.008385616515107426,0.009232870655697695,8
WS2M,0.02514709102084149,0.011270483515074484,0.007164056341469893,0.006478740358585959,9
ONI,0.023922766446093993,0.026862315879249865,-0.01607770530372525,0.024946838398248947,10
QV2M,0.011310569677080858,0.013298701708722566,-0.001821450194309382,0.00954501879898135,11
WS10M,0.006155999599997093,0.006417797501597799,0.004560653267335291,0.0059344416372264465,12
CLOUD_AMT,0.00426166570216127,0.014745853766006721,0.0034527996196240807,0.00766641016012167,13
ALLSKY_SFC_LW_DWN,0.0023755075544090085,0.005462918739384855,-0.002883528394659855,0.004210981352417763,14
PRECTOTCORR_SUM,0.00043768309830073037,0.004924256154524781,0.0011898474712366972,0.004160851751578869,15
GWETTOP,0.0004116695729817599,0.0026463936483371946,-0.0021236256649303548,0.0012766796080967327,16
T2M_MAX,-0.000171270721917192,0.00938585188537739,-0.02441075912525675,0.004712107955201276,17
GWETROOT,-0.0006815338721345228,0.005984963442309655,-0.0022482157216656843,0.005594348711416402,18
BIMESTRE_cos,-0.000749877559962886,0.00041057662797598833,-0.000586095920802295,0.0002501205495697114,19
ALLSKY_SRF_ALB,-0.0014639396098569198,0.0018490333982297946,-0.0020309135439608955,0.001190621586049763,20
TS,-0.0023811918951134417,0.002431400885093072,-0.003113184842506415,0.001741412474149181,21
ALLSKY_SFC_SW_DWN,-0.009953454908212426,0.013969333623455751,0.0016564710763499672,0.013398827788625141,22
GWETPROF,-0.014132961544739146,0.008104093242564373,-0.01382585629096946,0.01102953051257716,23
T2M_MIN,-0.02314896199938792,0.019574774023259942,-0.01750962638959841,0.01722968664852273,24
