variable,media_abs_SHAP_log_target,ranking
PS,0.022135925,1
T2M,0.008157542,2
PRECTOTCORR,0.0055500637,3
ALLSKY_SRF_ALB,0.0054941513,4
CLOUD_AMT,0.004774041,5
QV2M,0.0046631973,6
ALLSKY_SFC_LW_DWN,0.003293474,7
BIMESTRE_sin,0.0026568733,8
ONI,0.0020449166,9
año,0.0016203074,10
RH2M,0.0012924001,11
T2M_MIN,0.0011831786,12
GWETPROF,0.0011306228,13
TS,0.00074576464,14
WS10M,0.00071629306,15
PRECTOTCORR_SUM,0.0006034719,16
WS2M,0.0002455471,17
T2M_MAX,0.00024492035,18
GWETROOT,0.00023019405,19
ALLSKY_SFC_SW_DWN,0.00020750289,20
GWETTOP,5.7800997e-05,21
BIMESTRE_cos,3.422959e-05,22
