variable,shap_abs_medio,ranking_shap
latitud,0.07548667,1
longitud,0.054131933,2
BIMESTRE_sin,0.012239652,3
año,0.011951505,4
ONI,0.011281618,5
T2M,0.009201737,6
PS,0.008870611,7
PRECTOTCORR,0.008043658,8
RH2M,0.007897445,9
CLOUD_AMT,0.0054179216,10
ALLSKY_SFC_SW_DWN,0.004931034,11
T2M_MAX,0.003447401,12
QV2M,0.00290446,13
WS2M,0.0026560945,14
T2M_MIN,0.0025983965,15
GWETPROF,0.0024164936,16
PRECTOTCORR_SUM,0.0024152321,17
WS10M,0.0021920179,18
GWETROOT,0.0021100289,19
ALLSKY_SFC_LW_DWN,0.0020830375,20
ALLSKY_SRF_ALB,0.00094448164,21
TS,0.0007097199,22
GWETTOP,0.00070173806,23
BIMESTRE_cos,0.00013928385,24
