variable,importancia_nativa,ranking_nativo
latitud,0.11495235,1
BIMESTRE_sin,0.088438526,2
PS,0.07475616,3
T2M,0.063075356,4
ONI,0.059796862,5
T2M_MIN,0.05830546,6
longitud,0.058034174,7
GWETROOT,0.051561583,8
GWETPROF,0.049351893,9
T2M_MAX,0.045432612,10
WS2M,0.038286515,11
WS10M,0.03537929,12
RH2M,0.034543168,13
año,0.034018118,14
PRECTOTCORR,0.032677002,15
QV2M,0.026848888,16
ALLSKY_SFC_SW_DWN,0.025794625,17
PRECTOTCORR_SUM,0.02261622,18
ALLSKY_SRF_ALB,0.022012362,19
GWETTOP,0.019806316,20
TS,0.017993143,21
CLOUD_AMT,0.01318778,22
ALLSKY_SFC_LW_DWN,0.009139901,23
BIMESTRE_cos,0.003991686,24
