variable,informacion_mutua_media,informacion_mutua_std,ranking_mi,pearson,spearman,ranking_abs_pearson,ranking_abs_spearman,diferencia_ranking_mi_spearman,parametros
longitud,1.4075171144922254,0.08162845879887674,1,-0.17020400923921875,0.08548643508930834,2,7,-6,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
latitud,1.3455210156740547,0.07808905206037642,2,-0.3975501606732968,-0.10779987840599695,1,1,1,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
PS,0.6372044549747623,0.07407509512742265,3,-0.1358202525103841,-0.0422322939294493,3,11,-8,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
T2M,0.5886638981743991,0.09098280020453305,4,-0.059165924887029195,-0.024298492843476648,6,19,-15,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
TS,0.5875021908437903,0.08182379706477044,5,-0.05801081725442211,-0.03901472051552743,7,13,-8,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
T2M_MAX,0.5857028225622005,0.0863512687756127,6,-0.06821091977626745,-0.03799406691276922,5,14,-8,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
RH2M,0.5645313544136183,0.09648650116556547,7,0.03979220249871952,0.035417061688190726,13,17,-10,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
T2M_MIN,0.5623657476432798,0.08502318066047299,8,-0.05403343082682166,-0.01883654536895631,9,21,-13,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
QV2M,0.5403839731313768,0.09459457985641537,9,-0.003209786707088897,0.07511172353955164,24,9,0,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
GWETTOP,0.5358112087989597,0.08158624800984603,10,0.04456797813274602,0.041174193472815875,11,12,-2,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
GWETPROF,0.5267233398430201,0.08057032037873217,11,0.019756155970957257,0.03718352492192847,19,15,-4,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
PRECTOTCORR_SUM,0.5176831835286704,0.0905823912256708,12,0.052200100353490965,0.08922060612186727,10,5,7,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
PRECTOTCORR,0.5152088543050946,0.09434057186827834,13,0.05467022154394917,0.0909636540059306,8,4,9,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
GWETROOT,0.5022685917140027,0.0821805175414556,14,0.030520359864486528,0.030542004722751866,17,18,-4,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
WS10M,0.5001108858018387,0.08992130947916124,15,0.021137976373867755,0.015985377918743673,18,23,-8,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
WS2M,0.4868736566910271,0.09227218865698028,16,0.03211910743586527,0.01816550967967611,16,22,-6,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
ONI,0.4729355821604363,0.08060355533845424,17,-0.03229729411381171,0.03640411955329575,15,16,1,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
CLOUD_AMT,0.46896624435511564,0.07922807453987549,18,-0.042624750281059665,-0.10439417520514452,12,2,16,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
ALLSKY_SFC_LW_DWN,0.4469543132260144,0.07337136251874594,19,0.015614281050963436,0.08744611879573863,20,6,13,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
ALLSKY_SFC_SW_DWN,0.4448951671593997,0.08177444314601338,20,-0.015327763517701968,-0.01561401787419531,21,24,-4,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
ALLSKY_SRF_ALB,0.3631858648466666,0.05369556399036528,21,-0.03644452370909228,-0.07942766539812995,14,8,13,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
año,0.2904011352409295,0.03174017315439077,22,-0.011061101449306634,0.05427599531000781,22,10,12,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
BIMESTRE_sin,0.2500246805879588,0.046391173083151216,23,0.09966089610419698,0.10283781261273721,4,3,20,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
BIMESTRE_cos,0.24866310686023582,0.045253798796430496,24,0.007728435625865133,0.02115070436271851,23,20,4,"mutual_info_regression, n_neighbors=3, bootstrap=50, random_state=42, imputacion mediana ajustada con 2020-2023"
