experimento,variante_espacial,modelo,localidad,ano,bimestre,valor_real,prediccion,error,error_absoluto
A_contemporaneo,con_latitud_longitud,Regresion lineal,ANTONIO NARINO,2024,1,11.036871238576422,14.237001969559596,-3.200130730983174,3.200130730983174
A_contemporaneo,con_latitud_longitud,Regresion lineal,BARRIOS UNIDOS,2024,1,11.25153172266218,13.754652826100433,-2.503121103438252,2.503121103438252
A_contemporaneo,con_latitud_longitud,Regresion lineal,BOSA,2024,1,9.622822534790625,13.038997930000663,-3.416175395210038,3.416175395210038
A_contemporaneo,con_latitud_longitud,Regresion lineal,CHAPINERO,2024,1,11.412329843723242,12.486334397163853,-1.074004553440611,1.074004553440611
A_contemporaneo,con_latitud_longitud,Regresion lineal,CIUDAD BOLIVAR,2024,1,10.86909424091507,14.041219915902465,-3.172125674987395,3.172125674987395
A_contemporaneo,con_latitud_longitud,Regresion lineal,ENGATIVA,2024,1,10.204748104244752,13.435592760419668,-3.2308446561749165,3.2308446561749165
A_contemporaneo,con_latitud_longitud,Regresion lineal,FONTIBON,2024,1,12.928098908909138,12.95287816013579,-0.0247792512266507,0.0247792512266507
A_contemporaneo,con_latitud_longitud,Regresion lineal,KENNEDY,2024,1,10.406741061261672,13.93840812121875,-3.531667059957078,3.531667059957078
A_contemporaneo,con_latitud_longitud,Regresion lineal,LA CANDELARIA,2024,1,18.423087506879465,14.379583696938736,4.043503809940729,4.043503809940729
A_contemporaneo,con_latitud_longitud,Regresion lineal,LOS MARTIRES,2024,1,11.441326930923008,14.375578142230118,-2.93425121130711,2.93425121130711
A_contemporaneo,con_latitud_longitud,Regresion lineal,PUENTE ARANDA,2024,1,14.178904741778142,13.786809985108961,0.3920947566691808,0.3920947566691808
A_contemporaneo,con_latitud_longitud,Regresion lineal,RAFAEL URIBE URIBE,2024,1,11.253094542194068,14.34212428304572,-3.089029740851652,3.089029740851652
A_contemporaneo,con_latitud_longitud,Regresion lineal,SAN CRISTOBAL,2024,1,10.785881142090602,14.501540404517991,-3.7156592624273888,3.7156592624273888
A_contemporaneo,con_latitud_longitud,Regresion lineal,SANTA FE,2024,1,11.30923158312392,14.246129817194237,-2.936898234070318,2.936898234070318
A_contemporaneo,con_latitud_longitud,Regresion lineal,SUBA,2024,1,9.98751316755734,11.78053551049637,-1.7930223429390288,1.7930223429390288
A_contemporaneo,con_latitud_longitud,Regresion lineal,SUMAPAZ,2024,1,20.0,17.911232352467163,2.088767647532837,2.088767647532837
A_contemporaneo,con_latitud_longitud,Regresion lineal,TEUSAQUILLO,2024,1,10.69041653176424,13.728779805861652,-3.038363274097412,3.038363274097412
A_contemporaneo,con_latitud_longitud,Regresion lineal,TUNJUELITO,2024,1,14.104897409838772,14.218838325187662,-0.1139409153488895,0.1139409153488895
A_contemporaneo,con_latitud_longitud,Regresion lineal,USAQUEN,2024,1,10.737109616915863,12.04628733770549,-1.3091777207896271,1.3091777207896271
A_contemporaneo,con_latitud_longitud,Regresion lineal,USME,2024,1,10.264386478256728,14.42450158357641,-4.160115105319681,4.160115105319681
A_contemporaneo,con_latitud_longitud,Regresion lineal,ANTONIO NARINO,2024,2,10.889080523719448,15.396120609750362,-4.507040086030914,4.507040086030914
A_contemporaneo,con_latitud_longitud,Regresion lineal,BARRIOS UNIDOS,2024,2,10.732379174069107,14.877077903844954,-4.144698729775847,4.144698729775847
A_contemporaneo,con_latitud_longitud,Regresion lineal,BOSA,2024,2,9.56465808490901,14.106981265749598,-4.542323180840588,4.542323180840588
A_contemporaneo,con_latitud_longitud,Regresion lineal,CHAPINERO,2024,2,10.685633359876622,13.695647041799736,-3.0100136819231142,3.0100136819231142
A_contemporaneo,con_latitud_longitud,Regresion lineal,CIUDAD BOLIVAR,2024,2,11.000483769710852,15.185444902586969,-4.184961132876117,4.184961132876117
A_contemporaneo,con_latitud_longitud,Regresion lineal,ENGATIVA,2024,2,10.377497586137912,14.533746103461397,-4.156248517323485,4.156248517323485
A_contemporaneo,con_latitud_longitud,Regresion lineal,FONTIBON,2024,2,12.389308019568649,14.014310139473617,-1.625002119904968,1.625002119904968
A_contemporaneo,con_latitud_longitud,Regresion lineal,KENNEDY,2024,2,10.28940351933042,15.074811945453618,-4.7854084261231975,4.7854084261231975
A_contemporaneo,con_latitud_longitud,Regresion lineal,LA CANDELARIA,2024,2,16.849002064693735,15.549548902502789,1.2994531621909466,1.2994531621909466
A_contemporaneo,con_latitud_longitud,Regresion lineal,LOS MARTIRES,2024,2,11.310064985541493,15.545238634758345,-4.235173649216852,4.235173649216852
A_contemporaneo,con_latitud_longitud,Regresion lineal,PUENTE ARANDA,2024,2,15.125420386553035,14.911681342147586,0.21373904440544855,0.21373904440544855
