localidad,ano,bimestre,valor_real,prediccion,error,error_absoluto,modelo
ANTONIO NARINO,2024,1,11.036871238576422,11.109701,-0.07282991803978867,0.07282991803978867,XGBoost_con_latitud_longitud
BARRIOS UNIDOS,2024,1,11.25153172266218,11.624999,-0.3734673236635029,0.3734673236635029,XGBoost_con_latitud_longitud
BOSA,2024,1,9.622822534790625,9.636669,-0.013846624144921549,0.013846624144921549,XGBoost_con_latitud_longitud
CHAPINERO,2024,1,11.412329843723242,11.436985,-0.02465517214589852,0.02465517214589852,XGBoost_con_latitud_longitud
CIUDAD BOLIVAR,2024,1,10.86909424091507,10.791131,0.07796322132278455,0.07796322132278455,XGBoost_con_latitud_longitud
ENGATIVA,2024,1,10.204748104244752,10.2720785,-0.06733040985436922,0.06733040985436922,XGBoost_con_latitud_longitud
FONTIBON,2024,1,12.928098908909138,13.235924,-0.30782485818070526,0.30782485818070526,XGBoost_con_latitud_longitud
KENNEDY,2024,1,10.406741061261672,10.508377,-0.10163601393364097,0.10163601393364097,XGBoost_con_latitud_longitud
LA CANDELARIA,2024,1,18.423087506879465,17.141851,1.2812360817085668,1.2812360817085668,XGBoost_con_latitud_longitud
LOS MARTIRES,2024,1,11.441326930923008,11.882429,-0.44110219200179657,0.44110219200179657,XGBoost_con_latitud_longitud
PUENTE ARANDA,2024,1,14.178904741778142,16.544394,-2.3654887976505687,2.3654887976505687,XGBoost_con_latitud_longitud
RAFAEL URIBE URIBE,2024,1,11.253094542194068,11.415556,-0.16246141178542395,0.16246141178542395,XGBoost_con_latitud_longitud
SAN CRISTOBAL,2024,1,10.785881142090602,11.20584,-0.41995896868820637,0.41995896868820637,XGBoost_con_latitud_longitud
SANTA FE,2024,1,11.30923158312392,11.187023,0.12220842028212253,0.12220842028212253,XGBoost_con_latitud_longitud
SUBA,2024,1,9.98751316755734,10.266581,-0.27906741410769875,0.27906741410769875,XGBoost_con_latitud_longitud
SUMAPAZ,2024,1,20.0,11.638747,8.361252784729004,8.361252784729004,XGBoost_con_latitud_longitud
TEUSAQUILLO,2024,1,10.69041653176424,10.705292,-0.01487521628263444,0.01487521628263444,XGBoost_con_latitud_longitud
TUNJUELITO,2024,1,14.104897409838772,14.415243,-0.3103457389649389,0.3103457389649389,XGBoost_con_latitud_longitud
USAQUEN,2024,1,10.737109616915863,10.959454,-0.22234396584780924,0.22234396584780924,XGBoost_con_latitud_longitud
USME,2024,1,10.264386478256728,10.23795,0.02643615324452142,0.02643615324452142,XGBoost_con_latitud_longitud
ANTONIO NARINO,2024,2,10.889080523719448,11.040191,-0.15111017299686047,0.15111017299686047,XGBoost_con_latitud_longitud
