modelo,tipo,localidad,año,BIMESTRE,id_registro_v11,valor_real,prediccion,error,error_absoluto,regla_utilizada
XGBoost,modelo,ANTONIO NARINO,2024,1,456,11.03687123857642,11.626897811889648,-0.5900265733132279,0.5900265733132279,modelo_entrenado_2020_2023
XGBoost,modelo,BARRIOS UNIDOS,2024,1,457,11.25153172266218,11.626897811889648,-0.3753660892274677,0.3753660892274677,modelo_entrenado_2020_2023
XGBoost,modelo,BOSA,2024,1,458,9.622822534790625,11.626897811889648,-2.004075277099023,2.004075277099023,modelo_entrenado_2020_2023
XGBoost,modelo,CHAPINERO,2024,1,459,11.41232984372324,11.141276359558105,0.27105348416513486,0.27105348416513486,modelo_entrenado_2020_2023
XGBoost,modelo,CIUDAD BOLIVAR,2024,1,460,10.86909424091507,11.626897811889648,-0.7578035709745787,0.7578035709745787,modelo_entrenado_2020_2023
XGBoost,modelo,ENGATIVA,2024,1,461,10.20474810424475,11.626897811889648,-1.4221497076448983,1.4221497076448983,modelo_entrenado_2020_2023
XGBoost,modelo,FONTIBON,2024,1,462,12.92809890890914,11.626897811889648,1.3012010970194918,1.3012010970194918,modelo_entrenado_2020_2023
XGBoost,modelo,KENNEDY,2024,1,463,10.40674106126167,11.626897811889648,-1.2201567506279787,1.2201567506279787,modelo_entrenado_2020_2023
XGBoost,modelo,LA CANDELARIA,2024,1,464,18.42308750687947,11.626897811889648,6.79618969498982,6.79618969498982,modelo_entrenado_2020_2023
XGBoost,modelo,LOS MARTIRES,2024,1,465,11.44132693092301,11.626897811889648,-0.18557088096663854,0.18557088096663854,modelo_entrenado_2020_2023
XGBoost,modelo,PUENTE ARANDA,2024,1,466,14.17890474177814,11.626897811889648,2.552006929888492,2.552006929888492,modelo_entrenado_2020_2023
XGBoost,modelo,RAFAEL URIBE URIBE,2024,1,467,11.25309454219407,11.626897811889648,-0.3738032696955784,0.3738032696955784,modelo_entrenado_2020_2023
XGBoost,modelo,SAN CRISTOBAL,2024,1,468,10.7858811420906,11.626897811889648,-0.841016669799048,0.841016669799048,modelo_entrenado_2020_2023
XGBoost,modelo,SANTA FE,2024,1,469,11.30923158312392,11.626897811889648,-0.31766622876572903,0.31766622876572903,modelo_entrenado_2020_2023
XGBoost,modelo,SUBA,2024,1,470,9.987513167557339,10.190383911132812,-0.20287074357547397,0.20287074357547397,modelo_entrenado_2020_2023
XGBoost,modelo,TEUSAQUILLO,2024,1,471,10.69041653176424,11.626897811889648,-0.9364812801254079,0.9364812801254079,modelo_entrenado_2020_2023
XGBoost,modelo,TUNJUELITO,2024,1,472,14.10489740983877,11.626897811889648,2.477999597949122,2.477999597949122,modelo_entrenado_2020_2023
XGBoost,modelo,USAQUEN,2024,1,473,10.73710961691586,11.141276359558105,-0.4041667426422446,0.4041667426422446,modelo_entrenado_2020_2023
XGBoost,modelo,USME,2024,1,474,10.26438647825673,11.626897811889648,-1.3625113336329182,1.3625113336329182,modelo_entrenado_2020_2023
XGBoost,modelo,ANTONIO NARINO,2024,2,475,10.88908052371945,11.618264198303223,-0.7291836745837728,0.7291836745837728,modelo_entrenado_2020_2023
XGBoost,modelo,BARRIOS UNIDOS,2024,2,476,10.73237917406911,11.618264198303223,-0.8858850242341134,0.8858850242341134,modelo_entrenado_2020_2023
XGBoost,modelo,BOSA,2024,2,477,9.56465808490901,11.618264198303223,-2.0536061133942134,2.0536061133942134,modelo_entrenado_2020_2023
XGBoost,modelo,CHAPINERO,2024,2,478,10.68563335987662,11.103302001953125,-0.4176686420765048,0.4176686420765048,modelo_entrenado_2020_2023
XGBoost,modelo,CIUDAD BOLIVAR,2024,2,479,11.00048376971085,11.618264198303223,-0.617780428592372,0.617780428592372,modelo_entrenado_2020_2023
XGBoost,modelo,ENGATIVA,2024,2,480,10.37749758613791,11.618264198303223,-1.240766612165313,1.240766612165313,modelo_entrenado_2020_2023
XGBoost,modelo,FONTIBON,2024,2,481,12.38930801956865,11.618264198303223,0.7710438212654278,0.7710438212654278,modelo_entrenado_2020_2023
XGBoost,modelo,KENNEDY,2024,2,482,10.28940351933042,11.618264198303223,-1.3288606789728021,1.3288606789728021,modelo_entrenado_2020_2023
XGBoost,modelo,LA CANDELARIA,2024,2,483,16.84900206469374,11.618264198303223,5.230737866390516,5.230737866390516,modelo_entrenado_2020_2023
XGBoost,modelo,LOS MARTIRES,2024,2,484,11.31006498554149,11.618264198303223,-0.3081992127617319,0.3081992127617319,modelo_entrenado_2020_2023
XGBoost,modelo,PUENTE ARANDA,2024,2,485,15.12542038655303,11.618264198303223,3.507156188249807,3.507156188249807,modelo_entrenado_2020_2023
XGBoost,modelo,RAFAEL URIBE URIBE,2024,2,486,11.28338404719874,11.618264198303223,-0.3348801511044819,0.3348801511044819,modelo_entrenado_2020_2023
XGBoost,modelo,SAN CRISTOBAL,2024,2,487,10.96461743103348,11.618264198303223,-0.653646767269743,0.653646767269743,modelo_entrenado_2020_2023
XGBoost,modelo,SANTA FE,2024,2,488,10.92882072977261,11.618264198303223,-0.6894434685306123,0.6894434685306123,modelo_entrenado_2020_2023
XGBoost,modelo,SUBA,2024,2,489,9.902885856283808,10.130633354187012,-0.22774749790320392,0.22774749790320392,modelo_entrenado_2020_2023
XGBoost,modelo,TEUSAQUILLO,2024,2,490,10.09315592024842,11.618264198303223,-1.5251082780548035,1.5251082780548035,modelo_entrenado_2020_2023
XGBoost,modelo,TUNJUELITO,2024,2,491,14.00760153677278,11.618264198303223,2.3893373384695575,2.3893373384695575,modelo_entrenado_2020_2023
XGBoost,modelo,USAQUEN,2024,2,492,10.4762190892342,11.103302001953125,-0.6270829127189241,0.6270829127189241,modelo_entrenado_2020_2023
XGBoost,modelo,USME,2024,2,493,10.2714043330723,11.618264198303223,-1.3468598652309218,1.3468598652309218,modelo_entrenado_2020_2023
XGBoost,modelo,ANTONIO NARINO,2024,3,494,10.69389825506327,12.216476440429688,-1.5225781853664166,1.5225781853664166,modelo_entrenado_2020_2023
XGBoost,modelo,BARRIOS UNIDOS,2024,3,495,11.02788996142492,12.216476440429688,-1.1885864790047673,1.1885864790047673,modelo_entrenado_2020_2023
XGBoost,modelo,BOSA,2024,3,496,9.598112473466491,12.216476440429688,-2.618363966963196,2.618363966963196,modelo_entrenado_2020_2023
XGBoost,modelo,CHAPINERO,2024,3,497,11.40855222784479,11.036433219909668,0.3721190079351224,0.3721190079351224,modelo_entrenado_2020_2023
XGBoost,modelo,CIUDAD BOLIVAR,2024,3,498,10.95554630332417,12.216476440429688,-1.2609301371055182,1.2609301371055182,modelo_entrenado_2020_2023
XGBoost,modelo,ENGATIVA,2024,3,499,10.21859162616628,12.216476440429688,-1.9978848142634078,1.9978848142634078,modelo_entrenado_2020_2023
XGBoost,modelo,FONTIBON,2024,3,500,12.81182344484594,12.216476440429688,0.5953470044162525,0.5953470044162525,modelo_entrenado_2020_2023
XGBoost,modelo,KENNEDY,2024,3,501,10.389192950878,12.216476440429688,-1.8272834895516876,1.8272834895516876,modelo_entrenado_2020_2023
XGBoost,modelo,LA CANDELARIA,2024,3,502,16.73342047330765,12.216476440429688,4.516944032877962,4.516944032877962,modelo_entrenado_2020_2023
XGBoost,modelo,LOS MARTIRES,2024,3,503,11.13734085065518,12.216476440429688,-1.0791355897745074,1.0791355897745074,modelo_entrenado_2020_2023
XGBoost,modelo,PUENTE ARANDA,2024,3,504,15.21598083314425,12.216476440429688,2.999504392714563,2.999504392714563,modelo_entrenado_2020_2023
XGBoost,modelo,RAFAEL URIBE URIBE,2024,3,505,11.13446700214009,12.216476440429688,-1.0820094382895977,1.0820094382895977,modelo_entrenado_2020_2023
XGBoost,modelo,SAN CRISTOBAL,2024,3,506,10.68659660618086,12.216476440429688,-1.5298798342488276,1.5298798342488276,modelo_entrenado_2020_2023
XGBoost,modelo,SANTA FE,2024,3,507,11.19215328949106,12.216476440429688,-1.0243231509386277,1.0243231509386277,modelo_entrenado_2020_2023
XGBoost,modelo,SUBA,2024,3,508,9.985130365416557,10.352166175842285,-0.36703581042572786,0.36703581042572786,modelo_entrenado_2020_2023
XGBoost,modelo,TEUSAQUILLO,2024,3,509,10.53746793568915,12.216476440429688,-1.679008504740537,1.679008504740537,modelo_entrenado_2020_2023
XGBoost,modelo,TUNJUELITO,2024,3,510,13.98157029323102,12.216476440429688,1.765093852801332,1.765093852801332,modelo_entrenado_2020_2023
XGBoost,modelo,USAQUEN,2024,3,511,10.24685452017917,11.036433219909668,-0.7895786997304981,0.7895786997304981,modelo_entrenado_2020_2023
XGBoost,modelo,USME,2024,3,512,10.124127025184,12.216476440429688,-2.092349415245687,2.092349415245687,modelo_entrenado_2020_2023
XGBoost,modelo,ANTONIO NARINO,2024,4,513,9.244175038934864,11.708662033081055,-2.46448699414619,2.46448699414619,modelo_entrenado_2020_2023
XGBoost,modelo,BARRIOS UNIDOS,2024,4,514,10.13724497178411,11.708662033081055,-1.5714170612969447,1.5714170612969447,modelo_entrenado_2020_2023
XGBoost,modelo,BOSA,2024,4,515,8.986675792835957,11.708662033081055,-2.721986240245098,2.721986240245098,modelo_entrenado_2020_2023
XGBoost,modelo,CHAPINERO,2024,4,516,10.26520185493747,10.630863189697266,-0.3656613347597961,0.3656613347597961,modelo_entrenado_2020_2023
XGBoost,modelo,CIUDAD BOLIVAR,2024,4,517,9.948590859516647,11.708662033081055,-1.7600711735644072,1.7600711735644072,modelo_entrenado_2020_2023
XGBoost,modelo,ENGATIVA,2024,4,518,9.573945290382811,11.708662033081055,-2.1347167426982434,2.1347167426982434,modelo_entrenado_2020_2023
XGBoost,modelo,FONTIBON,2024,4,519,11.77153360535838,11.708662033081055,0.06287157227732543,0.06287157227732543,modelo_entrenado_2020_2023
XGBoost,modelo,KENNEDY,2024,4,520,9.609876530317429,11.708662033081055,-2.0987855027636257,2.0987855027636257,modelo_entrenado_2020_2023
XGBoost,modelo,LA CANDELARIA,2024,4,521,15.61123332875017,11.708662033081055,3.902571295669116,3.902571295669116,modelo_entrenado_2020_2023
XGBoost,modelo,LOS MARTIRES,2024,4,522,10.34196058402932,11.708662033081055,-1.3667014490517353,1.3667014490517353,modelo_entrenado_2020_2023
XGBoost,modelo,PUENTE ARANDA,2024,4,523,14.37681244153414,11.708662033081055,2.6681504084530854,2.6681504084530854,modelo_entrenado_2020_2023
XGBoost,modelo,RAFAEL URIBE URIBE,2024,4,524,10.20627413127413,11.708662033081055,-1.5023879018069248,1.5023879018069248,modelo_entrenado_2020_2023
XGBoost,modelo,SAN CRISTOBAL,2024,4,525,10.02104904936178,11.708662033081055,-1.6876129837192746,1.6876129837192746,modelo_entrenado_2020_2023
XGBoost,modelo,SANTA FE,2024,4,526,10.32593501081395,11.708662033081055,-1.3827270222671046,1.3827270222671046,modelo_entrenado_2020_2023
XGBoost,modelo,SUBA,2024,4,527,9.056744624659656,10.154104232788086,-1.0973596081284303,1.0973596081284303,modelo_entrenado_2020_2023
XGBoost,modelo,TEUSAQUILLO,2024,4,528,9.62754204145483,11.708662033081055,-2.081119991626224,2.081119991626224,modelo_entrenado_2020_2023
XGBoost,modelo,TUNJUELITO,2024,4,529,12.61263666412408,11.708662033081055,0.9039746310430257,0.9039746310430257,modelo_entrenado_2020_2023
XGBoost,modelo,USAQUEN,2024,4,530,9.978706683631465,10.630863189697266,-0.6521565060658006,0.6521565060658006,modelo_entrenado_2020_2023
XGBoost,modelo,USME,2024,4,531,9.576611452188041,11.708662033081055,-2.1320505808930132,2.1320505808930132,modelo_entrenado_2020_2023
XGBoost,modelo,ANTONIO NARINO,2024,5,532,8.814745075318656,11.646894454956055,-2.832149379637398,2.832149379637398,modelo_entrenado_2020_2023
XGBoost,modelo,BARRIOS UNIDOS,2024,5,533,9.724489795918368,11.646894454956055,-1.9224046590376869,1.9224046590376869,modelo_entrenado_2020_2023
XGBoost,modelo,BOSA,2024,5,534,8.627833355159396,11.646894454956055,-3.0190610997966587,3.0190610997966587,modelo_entrenado_2020_2023
XGBoost,modelo,CHAPINERO,2024,5,535,10.01584302325581,10.6665620803833,-0.6507190571274908,0.6507190571274908,modelo_entrenado_2020_2023
XGBoost,modelo,CIUDAD BOLIVAR,2024,5,536,9.012294659957576,11.646894454956055,-2.634599794998479,2.634599794998479,modelo_entrenado_2020_2023
XGBoost,modelo,ENGATIVA,2024,5,537,8.938284004793475,11.646894454956055,-2.7086104501625794,2.7086104501625794,modelo_entrenado_2020_2023
XGBoost,modelo,FONTIBON,2024,5,538,11.56480952272086,11.646894454956055,-0.08208493223519397,0.08208493223519397,modelo_entrenado_2020_2023
XGBoost,modelo,KENNEDY,2024,5,539,9.386469851469174,11.646894454956055,-2.2604246034868805,2.2604246034868805,modelo_entrenado_2020_2023
XGBoost,modelo,LA CANDELARIA,2024,5,540,11.60934782608696,11.646894454956055,-0.037546628869094434,0.037546628869094434,modelo_entrenado_2020_2023
XGBoost,modelo,LOS MARTIRES,2024,5,541,8.99699170686758,11.646894454956055,-2.649902748088474,2.649902748088474,modelo_entrenado_2020_2023
XGBoost,modelo,PUENTE ARANDA,2024,5,542,13.67249361430396,11.646894454956055,2.0255991593479052,2.0255991593479052,modelo_entrenado_2020_2023
XGBoost,modelo,RAFAEL URIBE URIBE,2024,5,543,9.643767754451604,11.646894454956055,-2.003126700504451,2.003126700504451,modelo_entrenado_2020_2023
XGBoost,modelo,SAN CRISTOBAL,2024,5,544,8.892466507714184,11.646894454956055,-2.7544279472418705,2.7544279472418705,modelo_entrenado_2020_2023
XGBoost,modelo,SANTA FE,2024,5,545,10.02996874425446,11.646894454956055,-1.6169257107015955,1.6169257107015955,modelo_entrenado_2020_2023
XGBoost,modelo,SUBA,2024,5,546,8.851618714825337,10.028973579406738,-1.1773548645814014,1.1773548645814014,modelo_entrenado_2020_2023
XGBoost,modelo,TEUSAQUILLO,2024,5,547,9.343738672169088,11.646894454956055,-2.303155782786966,2.303155782786966,modelo_entrenado_2020_2023
XGBoost,modelo,TUNJUELITO,2024,5,548,11.54791746483498,11.646894454956055,-0.0989769901210753,0.0989769901210753,modelo_entrenado_2020_2023
XGBoost,modelo,USAQUEN,2024,5,549,9.230260446354189,10.6665620803833,-1.4363016340291122,1.4363016340291122,modelo_entrenado_2020_2023
XGBoost,modelo,USME,2024,5,550,9.110767020970986,11.646894454956055,-2.536127433985069,2.536127433985069,modelo_entrenado_2020_2023
XGBoost,modelo,ANTONIO NARINO,2024,6,551,9.81149379544879,11.756056785583496,-1.9445629901347061,1.9445629901347061,modelo_entrenado_2020_2023
XGBoost,modelo,BARRIOS UNIDOS,2024,6,552,10.20066992022187,11.756056785583496,-1.5553868653616263,1.5553868653616263,modelo_entrenado_2020_2023
XGBoost,modelo,BOSA,2024,6,553,8.99725166974563,11.756056785583496,-2.758805115837866,2.758805115837866,modelo_entrenado_2020_2023
XGBoost,modelo,CHAPINERO,2024,6,554,10.61109833409995,10.938520431518555,-0.32742209741860506,0.32742209741860506,modelo_entrenado_2020_2023
XGBoost,modelo,CIUDAD BOLIVAR,2024,6,555,10.14348267640046,11.756056785583496,-1.6125741091830363,1.6125741091830363,modelo_entrenado_2020_2023
XGBoost,modelo,ENGATIVA,2024,6,556,9.235609584001997,11.756056785583496,-2.520447201581499,2.520447201581499,modelo_entrenado_2020_2023
XGBoost,modelo,FONTIBON,2024,6,557,12.0820048419514,11.756056785583496,0.32594805636790447,0.32594805636790447,modelo_entrenado_2020_2023
XGBoost,modelo,KENNEDY,2024,6,558,9.600109695033964,11.756056785583496,-2.1559470905495317,2.1559470905495317,modelo_entrenado_2020_2023
XGBoost,modelo,LA CANDELARIA,2024,6,559,15.82900522121462,11.756056785583496,4.072948435631124,4.072948435631124,modelo_entrenado_2020_2023
XGBoost,modelo,LOS MARTIRES,2024,6,560,10.10764465259663,11.756056785583496,-1.6484121329868664,1.6484121329868664,modelo_entrenado_2020_2023
XGBoost,modelo,PUENTE ARANDA,2024,6,561,14.13906198100046,11.756056785583496,2.3830051954169633,2.3830051954169633,modelo_entrenado_2020_2023
XGBoost,modelo,RAFAEL URIBE URIBE,2024,6,562,10.04483560278977,11.756056785583496,-1.711221182793727,1.711221182793727,modelo_entrenado_2020_2023
XGBoost,modelo,SAN CRISTOBAL,2024,6,563,9.908718036725588,11.756056785583496,-1.8473387488579078,1.8473387488579078,modelo_entrenado_2020_2023
XGBoost,modelo,SANTA FE,2024,6,564,10.44112962189263,11.756056785583496,-1.3149271636908662,1.3149271636908662,modelo_entrenado_2020_2023
XGBoost,modelo,SUBA,2024,6,565,9.272173625384362,9.999646186828613,-0.7274725614442517,0.7274725614442517,modelo_entrenado_2020_2023
XGBoost,modelo,TEUSAQUILLO,2024,6,566,9.808223551785888,11.756056785583496,-1.947833233797608,1.947833233797608,modelo_entrenado_2020_2023
XGBoost,modelo,TUNJUELITO,2024,6,567,12.70214453744734,11.756056785583496,0.9460877518638444,0.9460877518638444,modelo_entrenado_2020_2023
XGBoost,modelo,USAQUEN,2024,6,568,9.56027872124374,10.938520431518555,-1.3782417102748141,1.3782417102748141,modelo_entrenado_2020_2023
XGBoost,modelo,USME,2024,6,569,9.373461318051575,11.756056785583496,-2.382595467531921,2.382595467531921,modelo_entrenado_2020_2023
Baseline - media histÃ³rica global,baseline,ANTONIO NARINO,2024,1,456,11.03687123857642,11.544158034427008,-0.5072867958505878,0.5072867958505878,media_global
Baseline - media histÃ³rica global,baseline,BARRIOS UNIDOS,2024,1,457,11.25153172266218,11.544158034427008,-0.29262631176482756,0.29262631176482756,media_global
Baseline - media histÃ³rica global,baseline,BOSA,2024,1,458,9.622822534790625,11.544158034427008,-1.921335499636383,1.921335499636383,media_global
Baseline - media histÃ³rica global,baseline,CHAPINERO,2024,1,459,11.41232984372324,11.544158034427008,-0.13182819070376794,0.13182819070376794,media_global
Baseline - media histÃ³rica global,baseline,CIUDAD BOLIVAR,2024,1,460,10.86909424091507,11.544158034427008,-0.6750637935119386,0.6750637935119386,media_global
Baseline - media histÃ³rica global,baseline,ENGATIVA,2024,1,461,10.20474810424475,11.544158034427008,-1.3394099301822582,1.3394099301822582,media_global
Baseline - media histÃ³rica global,baseline,FONTIBON,2024,1,462,12.92809890890914,11.544158034427008,1.383940874482132,1.383940874482132,media_global
Baseline - media histÃ³rica global,baseline,KENNEDY,2024,1,463,10.40674106126167,11.544158034427008,-1.1374169731653385,1.1374169731653385,media_global
Baseline - media histÃ³rica global,baseline,LA CANDELARIA,2024,1,464,18.42308750687947,11.544158034427008,6.878929472452461,6.878929472452461,media_global
Baseline - media histÃ³rica global,baseline,LOS MARTIRES,2024,1,465,11.44132693092301,11.544158034427008,-0.10283110350399838,0.10283110350399838,media_global
Baseline - media histÃ³rica global,baseline,PUENTE ARANDA,2024,1,466,14.17890474177814,11.544158034427008,2.634746707351132,2.634746707351132,media_global
Baseline - media histÃ³rica global,baseline,RAFAEL URIBE URIBE,2024,1,467,11.25309454219407,11.544158034427008,-0.29106349223293826,0.29106349223293826,media_global
Baseline - media histÃ³rica global,baseline,SAN CRISTOBAL,2024,1,468,10.7858811420906,11.544158034427008,-0.7582768923364078,0.7582768923364078,media_global
Baseline - media histÃ³rica global,baseline,SANTA FE,2024,1,469,11.30923158312392,11.544158034427008,-0.23492645130308887,0.23492645130308887,media_global
Baseline - media histÃ³rica global,baseline,SUBA,2024,1,470,9.987513167557339,11.544158034427008,-1.5566448668696697,1.5566448668696697,media_global
Baseline - media histÃ³rica global,baseline,TEUSAQUILLO,2024,1,471,10.69041653176424,11.544158034427008,-0.8537415026627677,0.8537415026627677,media_global
Baseline - media histÃ³rica global,baseline,TUNJUELITO,2024,1,472,14.10489740983877,11.544158034427008,2.560739375411762,2.560739375411762,media_global
Baseline - media histÃ³rica global,baseline,USAQUEN,2024,1,473,10.73710961691586,11.544158034427008,-0.8070484175111474,0.8070484175111474,media_global
Baseline - media histÃ³rica global,baseline,USME,2024,1,474,10.26438647825673,11.544158034427008,-1.279771556170278,1.279771556170278,media_global
Baseline - media histÃ³rica global,baseline,ANTONIO NARINO,2024,2,475,10.88908052371945,11.544158034427008,-0.6550775107075584,0.6550775107075584,media_global
Baseline - media histÃ³rica global,baseline,BARRIOS UNIDOS,2024,2,476,10.73237917406911,11.544158034427008,-0.811778860357899,0.811778860357899,media_global
Baseline - media histÃ³rica global,baseline,BOSA,2024,2,477,9.56465808490901,11.544158034427008,-1.979499949517999,1.979499949517999,media_global
