iteracion,historial,ano_evaluado,escenario,baseline,modelo_o_baseline,n_registros,MAE,RMSE,R2
1,2020,2021,rolling_1_test_2021,media_global,Baseline - media global,120,2.2043316155102386,3.9522551270587516,-0.0023259000437514388
1,2020,2021,rolling_1_test_2021,media_localidad,Baseline - media por localidad,120,0.8662275102122834,2.78165604754136,0.5034924391759346
1,2020,2021,rolling_1_test_2021,media_localidad_bimestre,Baseline - media localidad-bimestre,120,1.2617218899932874,3.3297048411463104,0.288572768617665
1,2020,2021,rolling_1_test_2021,seasonal_naive,Baseline - seasonal naive,120,1.2617218899932874,3.3297048411463104,0.288572768617665
2,"2020,2021",2022,rolling_2_test_2022,media_global,Baseline - media global,119,1.9702744576811262,3.0514862307578365,-0.016296492333667922
2,"2020,2021",2022,rolling_2_test_2022,media_localidad,Baseline - media por localidad,119,0.6406536385201195,1.172226056670775,0.8500244929146473
2,"2020,2021",2022,rolling_2_test_2022,media_localidad_bimestre,Baseline - media localidad-bimestre,119,0.7674714657429099,1.4066702155605235,0.7840355929582918
2,"2020,2021",2022,rolling_2_test_2022,seasonal_naive,Baseline - seasonal naive,119,0.7428043038791162,1.4126798529397626,0.7821863461878786
3,"2020,2021,2022",2023,rolling_3_test_2023,media_global,Baseline - media global,120,1.7726378300314738,2.3246632032808066,-0.034141339448424235
3,"2020,2021,2022",2023,rolling_3_test_2023,media_localidad,Baseline - media por localidad,120,0.9226730260480802,2.695838071194729,-0.39074472416634976
3,"2020,2021,2022",2023,rolling_3_test_2023,media_localidad_bimestre,Baseline - media localidad-bimestre,120,1.0248567096862642,3.0152264207926267,-0.7398014023223782
3,"2020,2021,2022",2023,rolling_3_test_2023,seasonal_naive,Baseline - seasonal naive,120,1.018294469035151,3.1577148448484262,-0.908119783090821
4,"2020,2021,2022,2023",2024,rolling_4_test_2024,media_global,Baseline - media global,117,1.9732167981920936,2.4716264611097176,-0.07831338976871605
4,"2020,2021,2022,2023",2024,rolling_4_test_2024,media_localidad,Baseline - media por localidad,117,0.7842786586459662,1.149376775835764,0.7668130935255139
4,"2020,2021,2022,2023",2024,rolling_4_test_2024,media_localidad_bimestre,Baseline - media localidad-bimestre,117,0.7131365506408356,0.9910727622533034,0.8266234299681222
4,"2020,2021,2022,2023",2024,rolling_4_test_2024,seasonal_naive,Baseline - seasonal naive,117,1.1026892012561096,2.384286892879075,-0.0034514122092583754
