localidad_test,n_train,n_val,n_test,MAE_train,RMSE_train,R2_train,MAE_val,RMSE_val,R2_val,MAE_test,RMSE_test,R2_test
ANTONIO NARINO,452,114,30,0.3207330408186188,0.4972770236553444,0.97040697397229,0.7454949442102866,1.7303586335516157,0.7813668150274806,0.23641756752900148,0.31403918363483224,0.740476003917721
BARRIOS UNIDOS,452,114,30,0.310121169122527,0.48586565973051676,0.9718660735462682,0.7371215168758897,1.7606791925958056,0.7738944502936148,0.6553621422704051,0.7184088705944033,-0.35306659220839953
BOSA,452,114,30,0.305914903026392,0.4710446326170752,0.9729299462022992,0.6902517521178221,1.6944051131765359,0.7822202696462617,1.246956907023869,1.2723441450066488,-24.996780781009505
CHAPINERO,452,114,30,0.28295470142916707,0.4422697635972943,0.9764034763262017,0.6996445476077192,1.7102201919879787,0.7804434396544072,0.7858044211155767,0.8757139119649885,0.2231696907558448
CIUDAD BOLIVAR,452,114,30,0.3197857715812878,0.4937971469251993,0.9727342180766354,0.6466513602034986,1.7117114277093297,0.746758599630428,0.689271967193992,0.7215693765004076,-2.028858222583101
ENGATIVA,452,114,30,0.31513042618203313,0.4914623623418858,0.9708875129011755,0.7559879815837938,1.7542426268296218,0.7725079593132559,2.4838631620697,2.5102404841704753,-43.63034901722199
FONTIBON,452,114,30,0.30774390142337527,0.4741688068436709,0.9730473798018793,0.7223116806519728,1.7565130287639692,0.7744293961071702,0.568522355172508,0.638667810866639,-0.0446297348434197
KENNEDY,452,114,30,0.31492385383702454,0.4969622323103254,0.9703168054677507,0.6984083938706939,1.7257069898207755,0.7781492752562091,0.8927620287893306,0.9232430268577633,-8.309855244062243
LA CANDELARIA,452,114,30,0.2703747252248429,0.3923679587795567,0.9785445461564275,0.6078688347919643,1.5799822888756048,0.7739290452894246,3.2631903882726427,3.824350898135794,-1.6841346141132272
LOS MARTIRES,452,114,30,0.3081479690793963,0.48167134975433046,0.9723474001911017,0.7249664068389595,1.6862511265246662,0.7929628898292765,4.374473679319792,4.460658878224839,-36.09263372487748
PUENTE ARANDA,452,114,30,0.28622353556285435,0.4593130443851107,0.9715032080114634,0.6873475879052688,1.7241221728312133,0.7644983898333355,5.6826401582292885,5.7372424508254065,-28.93651106576034
RAFAEL URIBE URIBE,452,114,30,0.33066746910534267,0.5051832139168767,0.9715615168649155,0.678475835376074,1.7237730382811378,0.7435339876179905,0.49138299931006846,0.5621041281875461,-0.30470292028454926
SAN CRISTOBAL,452,114,30,0.31625927661219905,0.49227458155797366,0.9710122525332583,0.6993678668745781,1.682648453094407,0.7884486635973604,0.9254712334688439,1.0692088896086667,-3.251821002059418
SANTA FE,452,114,30,0.3006592993158368,0.48008495586255495,0.9723440566641287,0.7012536640700632,1.663519694379495,0.7926561656364961,0.5851944490542529,0.7143721924631173,0.3254446396410504
SUBA,452,114,30,0.31150089452279617,0.47867042893978057,0.9722963140776026,0.727697989304557,1.7394701369558048,0.7758252348763284,0.5152193296849948,0.5718501573856533,-1.8940911186552576
SUMAPAZ,456,114,26,0.22542469472424428,0.33570250156173487,0.974681786453652,0.3000940568690235,0.4567585685950606,0.9469936632512884,9.206282238814598,11.855791708412132,-0.9869136323270633
TEUSAQUILLO,452,114,30,0.3065691165320133,0.48618876883875767,0.9715217362569166,0.7246932425907849,1.7201097319283651,0.7828852911084194,2.0973504547929176,2.1497666667251587,-10.50257046452732
TUNJUELITO,452,114,30,0.2971840464764019,0.4642151339978447,0.9732428897801538,0.7174136264416376,1.6707378919366385,0.7908310133594204,2.963712825882705,2.992036658766566,-14.597157850310419
USAQUEN,452,114,30,0.30587474555672006,0.48068403623979117,0.972258349898127,0.7222603800693412,1.7319934546158204,0.7735580998220422,0.6123931143559437,0.7096545816020339,-3.067907261566919
USME,452,114,30,0.30051762039989033,0.47235323422324094,0.973016250127721,0.707152920191267,1.661717413226998,0.7920563880078675,7.2839979431426904,7.6376025589924135,-792.2302710864127
