localidad_test,n_train,n_val,n_test,MAE_train,RMSE_train,R2_train,MAE_val,RMSE_val,R2_val,MAE_test,RMSE_test,R2_test
ANTONIO NARINO,432,108,30,0.20983556928092786,0.317114474885611,0.9756512595189786,0.39985452527709353,0.6453490797595863,0.9312046555536051,0.21237182812321306,0.2972956458589678,0.7674121963574831
BARRIOS UNIDOS,432,108,30,0.21278731053912756,0.32161466715600623,0.9749608311974776,0.38766943710726476,0.6311516309944573,0.9354808327522222,0.7042203715896597,0.7647993423480136,-0.5334542042758992
BOSA,432,108,30,0.2120285111875488,0.3150811455377818,0.9749628552596361,0.40350853630732764,0.6155783196625694,0.9348952744281201,1.2410000347195884,1.255087044283003,-24.296362367012655
CHAPINERO,432,108,30,0.1883255485257354,0.2859495296666923,0.9802103447058566,0.3715579252444399,0.5954059879480356,0.9386248261946584,0.6819941060714281,0.8113102116431578,0.3332307724888143
CIUDAD BOLIVAR,432,108,30,0.20698678782940666,0.3077896326603754,0.9787229464314927,0.3760766909875614,0.5955922597178662,0.9286073173234368,1.0096280110324722,1.02792252458831,-5.146721321582234
ENGATIVA,432,108,30,0.21328073036041198,0.32040903847574537,0.9747595528154663,0.39354208189797124,0.6276075205676455,0.9343201856959145,3.3677270562143935,3.388298767705433,-80.31356833969419
FONTIBON,432,108,30,0.20331000710700384,0.3005274067586717,0.9774759289591015,0.4018748113544683,0.6558896339489702,0.9287305186037176,0.24629563966491855,0.34103941338526567,0.7021336300832675
KENNEDY,432,108,30,0.20937234016292108,0.3125530720271598,0.9761429139973526,0.39041351587236534,0.6234896272791727,0.9344302383014679,0.8881966944692622,0.9249526620683913,-8.344366619049108
LA CANDELARIA,432,108,30,0.17787503239381908,0.24030192606873996,0.9778290340842972,0.3172417592334051,0.44519901790753313,0.9425442590885612,3.4570643074571525,3.9752887539372983,-1.9001882305985243
LOS MARTIRES,432,108,30,0.21099275350033248,0.3193472012438003,0.9753996199494637,0.3923531108821649,0.6471330952010927,0.9309544551674717,4.711314722156299,4.825938142573541,-42.416333830785995
PUENTE ARANDA,432,108,30,0.20071409029571133,0.3080618120326863,0.968381938550962,0.3707363881117086,0.6035332499930014,0.9211969480807687,5.7323071987362875,5.789037032377902,-29.479471586466968
RAFAEL URIBE URIBE,432,108,30,0.21166321762364634,0.31093898150089694,0.9783728837811235,0.38275433943579573,0.6142206606781273,0.9241765639736096,0.3491496299298096,0.4016277310036937,0.3339214192212532
SAN CRISTOBAL,432,108,30,0.21263824872716788,0.310509202232404,0.976964700368647,0.4080535843633566,0.6159354087466602,0.935710070882825,1.1370790711458458,1.2998534220153082,-5.284035281351329
SANTA FE,432,108,30,0.19627823697010705,0.3006397159095255,0.9783290605765889,0.37392308954859627,0.5992843959319104,0.9380431602253497,0.5548462514695949,0.64686607214381,0.446908145917026
SUBA,432,108,30,0.2167596911681807,0.3206170541520507,0.9745788960400008,0.3782481644333808,0.6075180875670693,0.9382542565395686,0.4646805984209974,0.5125981853889127,-1.3254223349950194
TEUSAQUILLO,432,108,30,0.20987642480479496,0.3154217985182182,0.9756146168103454,0.3583585329425793,0.6195221701015011,0.9361944966018232,1.14196070081546,1.2229247537178924,-2.7223030210487704
TUNJUELITO,432,108,30,0.2035196182549248,0.30346890041257424,0.9754885956876413,0.38389373807490007,0.6087182228837722,0.9349979114366643,2.9627367720090074,2.986718058820568,-14.541756581859262
USAQUEN,432,108,30,0.20015468402104822,0.3032228615551557,0.9779677980597806,0.43313771519137134,0.6468427751704048,0.9267666531813845,0.5204541680254757,0.6372810618382672,-2.28049248307519
USME,432,108,30,0.21083280410554064,0.31204491333911966,0.9762904252475637,0.39966549480484204,0.6233615785206759,0.9335832044213392,0.6619147878285631,0.6849728458376018,-5.380164549097616
