experimento,variante_espacial,modelo,etapa,conjunto,anos,n_registros,n_features,parametro_seleccionado,MAE,RMSE,R2
A_contemporaneo,con_latitud_longitud,Regresion lineal,seleccion,entrenamiento_2020_2022,2020-2022,359,24,sin hiperparametros,1.7406804446145263,2.6064983424689134,0.3971191671091646
A_contemporaneo,con_latitud_longitud,Regresion lineal,seleccion,validacion_2023,2023,120,24,sin hiperparametros,5.137739879453089,5.981197587366942,-5.84598771685828
A_contemporaneo,con_latitud_longitud,Ridge,seleccion,entrenamiento_2020_2022,2020-2022,359,24,alpha=1000.0,1.873414449165749,3.152039266749913,0.11834269788672269
A_contemporaneo,con_latitud_longitud,Ridge,seleccion,validacion_2023,2023,120,24,alpha=1000.0,1.8342057954211946,2.4624481813266423,-0.1603633869072465
A_contemporaneo,con_latitud_longitud,XGBoost,seleccion,entrenamiento_2020_2022,2020-2022,359,24,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.18857497967106085,0.2704294676052876,0.9935103003612681
A_contemporaneo,con_latitud_longitud,XGBoost,seleccion,validacion_2023,2023,120,24,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.8764399555226672,2.39993001350726,-0.10219127997510902
A_contemporaneo,con_latitud_longitud,Regresion lineal,modelo_final,entrenamiento_2020_2023,2020-2023,479,24,sin hiperparametros,1.7426368509258996,2.779424103950864,0.21078580145507342
A_contemporaneo,con_latitud_longitud,Regresion lineal,modelo_final,prueba_2024,2024,117,24,sin hiperparametros,2.7091849037803386,2.9823520828799603,-0.5699909600014859
A_contemporaneo,con_latitud_longitud,Ridge,modelo_final,entrenamiento_2020_2023,2020-2023,479,24,alpha=1000.0,1.7924907965684074,3.0248802228977807,0.06523678035954372
A_contemporaneo,con_latitud_longitud,Ridge,modelo_final,prueba_2024,2024,117,24,alpha=1000.0,1.7856093627305014,2.2807504066453625,0.08180516015239536
A_contemporaneo,con_latitud_longitud,XGBoost,modelo_final,entrenamiento_2020_2023,2020-2023,479,24,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.21102364627416278,0.32589634595536193,0.9891496378692775
A_contemporaneo,con_latitud_longitud,XGBoost,modelo_final,prueba_2024,2024,117,24,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",1.1211968429511265,2.0006404022348394,0.2934914925655059
A_contemporaneo,sin_latitud_longitud,Regresion lineal,seleccion,entrenamiento_2020_2022,2020-2022,359,22,sin hiperparametros,1.7535377570645303,2.6721006181578852,0.3663897626629271
A_contemporaneo,sin_latitud_longitud,Regresion lineal,seleccion,validacion_2023,2023,120,22,sin hiperparametros,6.249607916956944,7.084671563254052,-8.605041818653145
A_contemporaneo,sin_latitud_longitud,Ridge,seleccion,entrenamiento_2020_2022,2020-2022,359,22,alpha=1000.0,1.9393925049349032,3.3213850582268565,0.021062363626625835
A_contemporaneo,sin_latitud_longitud,Ridge,seleccion,validacion_2023,2023,120,22,alpha=1000.0,1.8453180128107078,2.3748382612325716,-0.07926449766015775
A_contemporaneo,sin_latitud_longitud,XGBoost,seleccion,entrenamiento_2020_2022,2020-2022,359,22,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",1.3387576971186776,1.973402829403974,0.65442042699947
A_contemporaneo,sin_latitud_longitud,XGBoost,seleccion,validacion_2023,2023,120,22,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",2.0580242199266103,3.1456309585321636,-0.8935438092302064
A_contemporaneo,sin_latitud_longitud,Regresion lineal,modelo_final,entrenamiento_2020_2023,2020-2023,479,22,sin hiperparametros,1.7407282735934049,2.829011930658421,0.18237378243516922
A_contemporaneo,sin_latitud_longitud,Regresion lineal,modelo_final,prueba_2024,2024,117,22,sin hiperparametros,3.113925258361629,3.4106790727316265,-1.0533408096834815
A_contemporaneo,sin_latitud_longitud,Ridge,modelo_final,entrenamiento_2020_2023,2020-2023,479,22,alpha=1000.0,1.8239206943364221,3.118425765110233,0.006526994698392019
A_contemporaneo,sin_latitud_longitud,Ridge,modelo_final,prueba_2024,2024,117,22,alpha=1000.0,1.8466278286020985,2.3844431965566835,-0.0035829805096021516
A_contemporaneo,sin_latitud_longitud,XGBoost,modelo_final,entrenamiento_2020_2023,2020-2023,479,22,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",1.3746740139489273,2.0317183812151622,0.5782915819855226
A_contemporaneo,sin_latitud_longitud,XGBoost,modelo_final,prueba_2024,2024,117,22,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",1.9314553830577668,2.4432600030814964,-0.053704165346013744
