n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,MAE_val,RMSE_val,R2_val,MAE_test,RMSE_test,R2_test
400,0.05,3,3,0.8,0.8,0.9322403322701094,2.704698739044991,0.6328116757041746,0.4252315115505597,0.7928272890013811,0.8763457154716412
400,0.03,3,1,0.8,0.8,0.9885481360331024,2.7095190706354115,0.6315016986045511,0.42346988343166925,0.6519761868630969,0.9163789809127875
400,0.03,3,1,0.8,1.0,0.9880100410593298,2.7253522951022853,0.6271824350537636,0.41051773509642897,0.6484714601726669,0.9172755814979041
400,0.05,3,3,0.8,1.0,0.9504919834550891,2.7561024425551794,0.6187219726267734,0.4202020514912413,0.7728952382315862,0.8824850143081655
400,0.05,4,3,0.8,0.8,0.9512151536620228,2.771691299663966,0.6143966632946833,0.4080353532112207,0.7400675486463734,0.8922555989884882
400,0.05,3,1,0.8,1.0,0.9483653476569068,2.7861626454940014,0.6103595855022764,0.4041605587846797,0.7393554887953625,0.8924628329194325
400,0.03,4,1,0.8,0.8,0.9529986705047906,2.788220533946345,0.6097837880819683,0.38174209461765335,0.5547973126568692,0.9394490883439652
400,0.05,4,3,0.8,1.0,0.9357156032085914,2.7942885025170114,0.6080834948600733,0.4243844154210941,0.8561734511822259,0.855796599285423
400,0.05,4,1,0.8,0.8,0.9607364392997987,2.7973841988981265,0.6072146321301922,0.3894620191941361,0.6198647952061209,0.9244132048267167
400,0.03,4,1,0.8,1.0,0.9484579532893801,2.801747595829114,0.6059883328363411,0.36804093901164997,0.5461833621856362,0.9413147550230678
200,0.05,4,3,0.8,0.8,0.9836357003010127,2.809037223156076,0.6039353751154077,0.41774105131816525,0.7093557626955663,0.9010125375535364
400,0.05,4,1,0.8,1.0,0.9392051178781491,2.811617766782718,0.6032073452426603,0.35965570323872764,0.6281488137021624,0.9223793855009845
200,0.05,3,3,0.8,0.8,1.0269169896014074,2.8176849252398743,0.6014930287416935,0.43916442520370025,0.6800414925550725,0.9090248432558026
200,0.05,4,1,0.8,0.8,0.9908272449944459,2.823152394410134,0.5999449929989814,0.4146790214818067,0.6310511852424596,0.9216604338087624
200,0.05,4,1,0.8,1.0,0.9676833479162353,2.8344837825219185,0.5967271177966895,0.36523337813746604,0.6216919939979637,0.9239669279579252
200,0.05,4,3,0.8,1.0,0.9528242010629902,2.837314770100345,0.5959211645903635,0.4370151462603735,0.8494175095528455,0.858063396984319
400,0.05,3,1,0.8,0.8,0.992985256508247,2.842770600983888,0.5943656760025762,0.41334549731591197,0.6934299226745614,0.9054074038081557
400,0.05,3,3,1.0,1.0,1.0437664976185055,2.844419495290589,0.5938949787866671,0.4285249332686992,0.9413732014260371,0.8256685869083272
200,0.05,3,3,0.8,1.0,1.0296118149212246,2.845598285689328,0.5935583112204039,0.44717050371617034,0.6963018687558762,0.904622241824841
400,0.03,4,3,1.0,1.0,0.9731359872885171,2.8560962066142457,0.5905539073932429,0.43794223613814,0.9955715869178632,0.8050168977349639
400,0.05,3,1,1.0,1.0,1.0880806885706484,2.858232272184563,0.5899412314224535,0.36199273419705197,0.5812292443509048,0.9335420556288956
400,0.05,4,3,1.0,1.0,0.9489988402019766,2.858406864798905,0.5898911337311346,0.4351683131384529,1.0147835512052479,0.797418945768346
400,0.03,4,3,0.8,0.8,0.9421590342647502,2.866280369822171,0.5876287256716457,0.43764586795343235,0.800848587556449,0.8738309547481585
200,0.05,3,1,0.8,1.0,1.037674089419389,2.866663867874409,0.5875183706891454,0.4385096976600964,0.7240540531622071,0.8968678748929485
400,0.03,4,1,1.0,1.0,1.0519830172851226,2.8733266676316953,0.5855987341685708,0.32994577097273886,0.45132455134520133,0.9599290252565834
400,0.03,3,3,0.8,0.8,1.0085299477742669,2.8836866889991777,0.5826050295020742,0.4322742227227187,0.6677041761087062,0.9122958439618641
200,0.05,4,3,1.0,1.0,0.95826841432384,2.891639338781703,0.5802996659132106,0.43479619710658424,0.9587991663469076,0.8191546758776955
400,0.05,3,3,1.0,0.8,1.0254927462255583,2.8973940661002504,0.57862749035323,0.41624678814405114,0.7811111838462966,0.8799733456066015
400,0.05,4,1,1.0,0.8,0.9907565119827236,2.8978376619258777,0.5784984548193264,0.3421603833301668,0.4833702069624816,0.9540366424020709
400,0.03,3,3,0.8,1.0,1.0346244098404624,2.8995256008313883,0.5780072775010299,0.4203860812842656,0.6772140155416001,0.9097797836864051
400,0.03,4,3,0.8,1.0,0.9634117861698535,2.9027997614822536,0.5770537062944521,0.4219641817039976,0.7678590992008434,0.8840114661201536
400,0.03,3,1,1.0,1.0,1.1187296894813126,2.904156706986352,0.5766581921285938,0.38428206293218564,0.5797462943987448,0.9338807449882224
200,0.03,4,1,0.8,1.0,1.04221325338394,2.904789727459637,0.5764736199688056,0.38751878633515063,0.5719260531800389,0.93565248942306
200,0.03,4,1,0.8,0.8,1.0517945867424252,2.904939618720635,0.576429909719852,0.4083125917626131,0.5846107461553431,0.9327665221320076
200,0.03,3,1,0.8,1.0,1.1366054277163928,2.9083072803657104,0.5754472610164771,0.4719639277331649,0.6994670822540182,0.9037531442639922
400,0.05,4,1,1.0,1.0,1.0607300052012096,2.9090952298337562,0.5752171811870319,0.3378653674036203,0.4510230438123887,0.9599825462321384
200,0.05,3,1,0.8,0.8,1.0566686368491784,2.9094248170433286,0.5751209238260899,0.4397213439630245,0.6856204324107679,0.9075260322634559
200,0.05,3,1,1.0,1.0,1.1438578144035265,2.9097554849540272,0.5750243398831443,0.4190710197074011,0.6051683166639322,0.9279549156709664
200,0.03,3,1,0.8,0.8,1.1481648387597836,2.9179757486933044,0.5726197759297518,0.4798902480908893,0.6821592380058888,0.9084573419631274
200,0.05,4,1,1.0,0.8,0.9866515025943178,2.9196076541324794,0.5721416094208869,0.34780253541086814,0.4950986206183068,0.9517790878266431
200,0.03,4,1,1.0,1.0,1.0928827369612528,2.9236916783728795,0.5709437730064197,0.38249789415887764,0.5215257292795591,0.9464938790590894
400,0.03,3,3,1.0,1.0,1.0951556291216955,2.924291682532619,0.5707676518794866,0.40858681023915155,0.7957588097978011,0.8754295883803932
400,0.03,3,1,1.0,0.8,1.0995602781915153,2.924430673341323,0.5707268483103078,0.37183923320185486,0.5943285137809113,0.9305127503917388
