localidad,n_test,MAE_XGBoost,RMSE_XGBoost,MAE_mejor_baseline,RMSE_mejor_baseline,diferencia_pct_RMSE_XGBoost_vs_baseline,modelo_con_mejor_resultado,mejor_baseline_referencia
ANTONIO NARINO,6,1.680497966196952,1.8741298422888948,0.8082842520631258,1.0246354856217539,82.9069819060252,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
BARRIOS UNIDOS,6,1.2498410296937676,1.3492373987887594,0.6885154897914383,0.8111241413912602,66.34166460321524,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
BOSA,6,2.529316302222676,2.556833664655795,0.37592935049164683,0.5081191290137985,403.1957111353628,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
CHAPINERO,6,0.400773937247109,0.4184770752072159,0.2921376694034154,0.35413144891717907,18.169983628052577,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
CIUDAD BOLIVAR,6,1.4406265357363985,1.59087112374638,0.6372605727517916,0.8976368964134854,77.228802659819,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
ENGATIVA,6,2.0040959214193235,2.0736359189488534,0.4970322077666169,0.6528835546479892,217.61190861468114,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
FONTIBON,6,0.5230827472635994,0.67811058967969,0.6407538943746761,0.6680365820321063,1.5080023936622593,Resultados similares,Baseline - media histÃ³rica localidad-bimestre
KENNEDY,6,1.8152430193254177,1.8599348547426715,0.3528383306657569,0.48829692964140786,280.9024267485273,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
LA CANDELARIA,6,4.092822992404606,4.578427273998486,1.351393307868329,1.8900830577726495,142.23418411008296,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
LOS MARTIRES,6,1.2063203356049923,1.466349032635871,0.9451644891034489,1.149106871530579,27.607715954455493,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
PUENTE ARANDA,6,2.6892370456784693,2.7297955606832325,1.8609059200438898,1.9202472765816645,42.15854353626208,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
RAFAEL URIBE URIBE,6,1.1679047740324602,1.3304499205656122,0.7318636242816536,0.9036878684270147,47.22449720183054,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
SAN CRISTOBAL,6,1.552320491856112,1.699150120642676,0.8287343455515659,1.0397510129545984,63.41894352324818,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
SANTA FE,6,1.0576687908157558,1.1460728790522166,0.14885533948000132,0.1797301649383488,537.6630653209179,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
SUBA,6,0.6333068476764149,0.7469180747014628,0.5711364818100023,0.7300629652455635,2.3087199677674275,Resultados similares,Baseline - media histÃ³rica localidad-bimestre
TEUSAQUILLO,6,1.7454511785219244,1.8005398862945474,0.35201521454437606,0.43470596078380874,314.19719275255244,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
TUNJUELITO,6,1.430245027041326,1.6676840151343337,1.04078089726245,1.2623667720264835,32.107724323034304,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
USAQUEN,6,0.8812547009102323,0.9633136355491991,0.5073840865769874,0.6440871391765385,49.5626254517036,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
USME,6,1.975415682753255,2.0290694874387025,0.4343910380529972,0.5736133481170895,253.7347054595592,El baseline supera a XGBoost,Baseline - media histÃ³rica localidad-bimestre
