config_id,train_years,validation_year,n_train,n_validation,metrics_scale,objective,eval_metric,random_state,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,MAE,RMSE,R2,n_registros
1,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,0.8,0.8,0.0,1.0,1.255129851737128,1.8197412030315414,0.03488552299699876,114
1,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,0.8,0.8,0.0,1.0,1.4344424187125107,2.393757162110356,-0.12638519595340858,114
1,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,0.8,0.8,0.0,1.0,1.4424852650177322,2.0888060469319893,0.041600822504445634,114
2,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,0.8,0.8,0.0,5.0,1.271008414914171,1.8192850667590112,0.03536929348715412,114
2,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,0.8,0.8,0.0,5.0,1.425149265486283,2.3940200947216153,-0.12663265603079799,114
2,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,0.8,0.8,0.0,5.0,1.444685701080134,2.0876833816670457,0.04263076237940011,114
3,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,1.0,0.8,0.0,1.0,1.2470947013924376,1.8420142117861418,0.011115598992432196,114
3,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,1.0,0.8,0.0,1.0,1.4609344413489465,2.4074362284673687,-0.1392953792501741,114
3,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,1.0,0.8,0.0,1.0,1.4675073482964087,2.08512743547106,0.04497353749921662,114
4,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,1.0,0.8,0.0,5.0,1.2698982681585833,1.8159900706583805,0.03886030888376446,114
4,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,1.0,0.8,0.0,5.0,1.4400418646491515,2.3860745317640673,-0.11916665716481956,114
4,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,1,1.0,0.8,0.0,5.0,1.4696210695787049,2.0841196055577735,0.045896523414705515,114
5,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,0.8,0.8,0.0,1.0,1.2543874246929285,1.824311349719923,0.03003180718614462,114
5,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,0.8,0.8,0.0,1.0,1.4382986176292714,2.4011411422995743,-0.13334499461047233,114
5,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,0.8,0.8,0.0,1.0,1.4473427329000457,2.087949997687192,0.0423862173712346,114
6,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,0.8,0.8,0.0,5.0,1.2711639955349023,1.8191957376060297,0.03546402028946671,114
6,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,0.8,0.8,0.0,5.0,1.4377229343175562,2.404480095715558,-0.1364991758964227,114
6,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,0.8,0.8,0.0,5.0,1.4481790185781163,2.089058629851906,0.04136902511073026,114
7,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,1.0,0.8,0.0,1.0,1.245200744171966,1.8427529424158267,0.010322265610843484,114
7,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,1.0,0.8,0.0,1.0,1.4588458694993243,2.397094704391945,-0.12952835437849552,114
7,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,1.0,0.8,0.0,1.0,1.4799771084550146,2.084545021572363,0.04550697540297444,114
8,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,1.0,0.8,0.0,5.0,1.2711542655988546,1.8153472759099554,0.039540605779395444,114
8,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,1.0,0.8,0.0,5.0,1.4631715390557383,2.407673767296975,-0.13952021614427523,114
8,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,3,3,1.0,0.8,0.0,5.0,1.4796948903286233,2.0838724155691906,0.046122835609551216,114
9,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,0.8,0.8,0.0,1.0,1.2544729960033572,1.8234648475915698,0.030931751863143675,114
9,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,0.8,0.8,0.0,1.0,1.4343779592007069,2.382203583211109,-0.11553833593448415,114
9,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,0.8,0.8,0.0,1.0,1.4397672408826365,2.0890132431195134,0.04141067894874173,114
10,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,0.8,0.8,0.0,5.0,1.272673287669255,1.821048262927398,0.033498605495696165,114
10,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,0.8,0.8,0.0,5.0,1.4236447370991672,2.388216828079758,-0.1211772087133769,114
10,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,0.8,0.8,0.0,5.0,1.4421990371279254,2.087697885729339,0.0426174597958594,114
11,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,1.0,1.2647788344470186,1.8175037295316365,0.03725738829353753,114
11,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,1.0,1.4703751237765106,2.3893180598945167,-0.1222114202294533,114
11,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,1.0,1.5529182553092207,2.0977335288456778,0.03339098842333221,114
12,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,5.0,1.2720156338263537,1.8172238488359322,0.037553874425353406,114
12,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,5.0,1.4214940650824117,2.3409273595507853,-0.07721558333099487,114
12,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,1,1.0,0.8,0.0,5.0,1.5539718843441992,2.0975910305416514,0.03352230678631085,114
13,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,1.0,1.2562525255154526,1.821189359229366,0.03334882906372749,114
13,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,1.0,1.4432520725987583,2.395841724440415,-0.12834783656902404,114
13,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,1.0,1.437675763140468,2.090830525562198,0.03974215409444992,114
14,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,5.0,1.2729927998856383,1.8173041482155678,0.037468815521495724,114
14,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,5.0,1.4400327168680074,2.405220263803334,-0.13719897781710877,114
14,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,0.8,0.8,0.0,5.0,1.4497624397681583,2.0865808233568677,0.043641717091576715,114
15,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,1.0,1.262037589995552,1.827812385831698,0.026305302715518897,114
15,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,1.0,1.4666793566039455,2.3792564727808587,-0.11277989742429351,114
15,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,1.0,1.5459732308523264,2.096284044998099,0.03472633447379703,114
16,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,5.0,1.2728068823486605,1.816860962705026,0.03793822275843017,114
16,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,5.0,1.4674836286730137,2.379295311858188,-0.11281622784746403,114
16,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.03,4,3,1.0,0.8,0.0,5.0,1.554006785477954,2.0981717814906915,0.032987063710457454,114
