variable,rezago_mayor_abs_spearman,n_pares_validos,pearson_mismo_rezago,p_pearson,spearman_rezago_mayor,p_spearman,p_pearson_ajustado_bh,p_spearman_ajustado_bh,pearson_contemporaneo,spearman_contemporaneo,p_pearson_contemporaneo_ajustado_bh,p_spearman_contemporaneo_ajustado_bh,cambio_abs_pearson_vs_contemporaneo,cambio_abs_spearman_vs_contemporaneo,direccion_spearman,magnitud_spearman
ALLSKY_SFC_LW_DWN,3,535,-0.11442074139953728,0.00807125604005784,-0.10441213489282758,0.01569129318682505,0.03538935340640745,0.08944037116490279,-0.02598749510435246,-0.001744414143975239,0.6651740051759569,0.9661023397779878,0.08843324629518483,0.10266772074885235,negativa,debil
ALLSKY_SFC_SW_DWN,2,555,0.0698191841897229,0.10035643107660513,0.10649817105234484,0.012058869549842609,0.2288126628546597,0.08591944554262859,-0.02895583733309122,-0.041180011423319875,0.6651740051759569,0.6425581961559887,0.04086334685663168,0.06531815962902496,positiva,debil
ALLSKY_SRF_ALB,3,535,0.10938301159353205,0.011350481907964184,0.14632967306894437,0.0006863110047294097,0.04621267633956846,0.009779931817394089,-0.0057782624649145645,-0.023437685468466227,0.8880513315140894,0.7544776260575593,0.10360474912861747,0.12289198760047815,positiva,debil
CLOUD_AMT,2,555,-0.03287493161650934,0.43955502742501357,-0.07618559831920046,0.07291310497638735,0.6227385965568304,0.23089149909189327,-0.028706098576091972,-0.040695656812757774,0.6651740051759569,0.6425581961559887,0.004168833040417368,0.03548994150644269,negativa,muy debil
GWETPROF,1,575,-0.03949664209385188,0.3444525770159036,-0.04861405692039029,0.24447441252316812,0.5774646144090149,0.4222739852672904,0.013869348877240058,0.026709075430760745,0.76741462029377,0.7544776260575593,0.025627293216611825,0.021904981489629542,negativa,muy debil
GWETROOT,1,575,-0.027151650200794387,0.5158364694734507,-0.056518400662796384,0.17592901875223443,0.6391886686953628,0.40111816275509454,0.0269070965873541,0.021682770807636385,0.6651740051759569,0.7544776260575593,0.0002445536134402862,0.03483562985516,negativa,muy debil
GWETTOP,2,555,-0.018551276462410622,0.6627705024559147,-0.05440453545889267,0.20063514102298013,0.7693939802433621,0.408435822796781,0.03890093002976974,0.03193467854989096,0.633415364533062,0.7482154039938858,-0.02034965356735912,0.02246985690900171,negativa,muy debil
ONI,3,535,-0.076333130407618,0.07772605334669863,-0.0924114557610924,0.032593245743140695,0.21097071622675342,0.16889227339627452,-0.01665062025278982,0.026144959721369276,0.747257903531267,0.7544776260575593,0.05968251015482817,0.06626649603972312,negativa,muy debil
PRECTOTCORR,2,555,-0.07117065186593177,0.0939315350615164,-0.059744392126173454,0.1598527384374416,0.22639461950700765,0.3961567865623553,0.05032561384631469,0.07068959917778032,0.5277519421286998,0.3721661893700528,0.020845038019617082,-0.01094520705160687,negativa,muy debil
PRECTOTCORR_SUM,2,555,-0.07094680914571042,0.09497235421317511,-0.05598977179822281,0.18780811862843635,0.22639461950700765,0.408435822796781,0.04771276511743548,0.06580007490748903,0.5341432395378048,0.3721661893700528,0.023234044028274933,-0.00981030310926622,negativa,muy debil
PS,1,575,-0.14065368004224527,0.0007189586839812249,-0.1421125434810015,0.0006315622933462725,0.0068301074978216365,0.009779931817394089,-0.14622360265039563,-0.06868027341610806,0.002732525915014197,0.3721661893700528,-0.005569922608150368,0.07343227006489343,negativa,debil
QV2M,2,555,-0.15614573753370375,0.0002216837857402408,-0.1470052770134225,0.0005121889854295173,0.0031589939467984315,0.009779931817394089,-0.021680885051481285,0.03836366090724774,0.7167920158554643,0.6458064644477809,0.13446485248222248,0.10864161610617476,negativa,debil
RH2M,2,555,-0.038738336562630205,0.3623485579877512,-0.07893063508942441,0.06314204236020414,0.5840331126414567,0.21171155379597859,0.03610580626622542,0.023155175066397804,0.6495738673883061,0.7544776260575593,0.0026325302964047836,0.05577546002302661,negativa,muy debil
T2M,3,535,-0.12709393140557076,0.0032319972650199885,-0.15041534367772133,0.0004814695007180298,0.018422384410613935,0.009779931817394089,-0.06681003780034138,-0.05267739646742537,0.3538985051461954,0.5972043238404563,0.060283893605229386,0.09773794721029597,negativa,debil
T2M_MAX,3,535,-0.1306435006617625,0.002464135959890207,-0.1338340885882585,0.0019201140409671232,0.015606194412637978,0.01824108338918767,-0.06791236256097971,-0.04693205276773203,0.3538985051461954,0.6425581961559887,0.06273113810078279,0.08690203582052645,negativa,debil
T2M_MIN,2,555,-0.09038684375956092,0.03325994638372443,-0.08242043410067365,0.052304176422918944,0.1184885589920183,0.21171155379597859,-0.050390964956594536,-0.006660989738635005,0.5277519421286998,0.9661023397779878,0.039995878802966386,0.07575944436203864,negativa,muy debil
TS,3,535,-0.12474694880022011,0.003852995868001643,-0.1344467622081468,0.001829184238231304,0.019965524043281238,0.01824108338918767,-0.060428573200469626,-0.04368683823396342,0.42184942856742075,0.6425581961559887,0.06431837559975048,0.09075992397418339,negativa,debil
WS10M,1,575,0.03955219362431382,0.34377387969549744,-0.062259138012849095,0.1359300533263229,0.5774646144090149,0.3689530018857336,0.029408267999427178,0.0029816312245964593,0.6651740051759569,0.9661023397779878,0.010143925624886644,0.05927750678825264,negativa,muy debil
WS2M,2,555,0.1657123408209947,8.771784605894399e-05,0.07268858521267842,0.08711205932157798,0.0016666390751199358,0.26133617796473396,0.041000390649216796,0.0037301421776201786,0.633415364533062,0.9661023397779878,0.12471195017177791,0.06895844303505824,positiva,muy debil
