alpha,MAE,RMSE,R2,experimento,variante_espacial
1000.0,1.8342057954211946,2.4624481813266423,-0.1603633869072465,A_contemporaneo,con_latitud_longitud
100.0,2.1484537257621668,2.85462096978538,-0.559397092639377,A_contemporaneo,con_latitud_longitud
10.0,2.19970944016099,2.992359960463506,-0.7135133274584919,A_contemporaneo,con_latitud_longitud
1.0,2.2059233050600606,3.1593551514740508,-0.9101026818678628,A_contemporaneo,con_latitud_longitud
0.1,3.1050771201989695,3.9420696691844643,-1.9737770636937197,A_contemporaneo,con_latitud_longitud
0.01,4.449389603098707,5.316091523040832,-4.408100021321449,A_contemporaneo,con_latitud_longitud
1000.0,1.8453180128107078,2.3748382612325716,-0.07926449766015775,A_contemporaneo,sin_latitud_longitud
100.0,2.1296469710148105,2.5783185554503363,-0.2721343071623654,A_contemporaneo,sin_latitud_longitud
10.0,1.9248726016687887,2.62974420079699,-0.3233868923138432,A_contemporaneo,sin_latitud_longitud
1.0,2.492986064961198,3.2756568905872108,-1.0533199514165097,A_contemporaneo,sin_latitud_longitud
0.1,3.8297282584425045,4.730911316780568,-3.2830133768260588,A_contemporaneo,sin_latitud_longitud
0.01,5.575121573008956,6.439130646883509,-6.934403641877512,A_contemporaneo,sin_latitud_longitud
